time,seconds_elapsed,dBFS
1685708462931000000,0.046,-160
1685708463046000000,0.161000244140625,-160
1685708463164000000,0.279,-160
1685708463281000000,0.396,-160
1685708463397000000,0.512,-123
1685708463516000000,0.631,-114
1685708463632000000,0.747,-106
1685708463751000000,0.866,0
1685708463868000000,0.983,-47
1685708463985000000,1.1,-89
1685708464102000000,1.217000244140625,-93
1685708464220000000,1.335,-89
1685708464336000000,1.451,-90
1685708464453000000,1.568,-90
1685708464570000000,1.684999755859375,-89
1685708464687000000,1.802,0
1685708464805000000,1.92,-68
1685708464921000000,2.036,-97
1685708465038000000,2.153000244140625,-100
1685708465156000000,2.271,-110
1685708465273000000,2.388,-113
1685708465390000000,2.505000244140625,-108
1685708465507000000,2.622,-8
1685708465627000000,2.742,-46
1685708465743000000,2.858,-83
1685708465860000000,2.975,-90
1685708465977000000,3.092,-86
1685708466093000000,3.208,-85
1685708466210000000,3.324999755859375,-87
1685708466329000000,3.444,-86
1685708466466000000,3.580999755859375,0
1685708466566000000,3.681000244140625,-61
1685708466679000000,3.794,-94
1685708466797000000,3.912,-108
1685708466913000000,4.028,-108
1685708467031000000,4.146,-108
1685708467148000000,4.263,-100
1685708467267000000,4.382,-95
1685708467384000000,4.499,-2
1685708467501000000,4.616,-58
1685708467617000000,4.732,-87
1685708467735000000,4.85,-92
1685708467851000000,4.966,-92
1685708467968000000,5.083,-95
1685708468087000000,5.202,-97
1685708468205000000,5.32,-103
1685708468321000000,5.436,0
1685708468441000000,5.556,-61
1685708468557000000,5.672,-100
1685708468675000000,5.79,-102
1685708468793000000,5.908,-97
1685708468910000000,6.025000244140625,-93
1685708469032000000,6.147,-91
1685708469148000000,6.263,-89
1685708469269000000,6.384,0
1685708469385000000,6.5,-66
1685708469501000000,6.616,-90
1685708469620000000,6.735,-91
1685708469736000000,6.851,-97
1685708469854000000,6.969000244140625,-101
1685708469960000000,7.075,-113
1685708470075000000,7.19,0
1685708470193000000,7.308,-51
1685708470310000000,7.425000244140625,-78
1685708470429000000,7.544,-97
1685708470544000000,7.659,-95
1685708470663000000,7.778,-96
1685708470778000000,7.892999755859375,-93
1685708470894000000,8.009000244140625,-93
1685708471012000000,8.127,0
1685708471131000000,8.246,-60
1685708471247000000,8.362,-90
1685708471364000000,8.479,-99
1685708471481000000,8.596,-104
1685708471597000000,8.712,-106
1685708471715000000,8.83,0
1685708471832000000,8.947,-54
1685708471951000000,9.066,-89
1685708472068000000,9.183,-91
1685708472185000000,9.3,-89
1685708472301000000,9.416,-89
1685708472418000000,9.532999755859375,0
1685708472536000000,9.651,-61
1685708472652000000,9.767,-89
1685708472769000000,9.884,-92
1685708472887000000,10.002,-95
1685708473004000000,10.119,0
1685708473120000000,10.235,-35
1685708473237000000,10.352,-87
1685708473353000000,10.468,-105
1685708473455000000,10.57,-97
1685708473573000000,10.688,-96
1685708473690000000,10.804999755859376,0
1685708473809000000,10.924,-49
1685708473927000000,11.042,-75
1685708474042000000,11.156999755859376,-89
1685708474159000000,11.274,-91
1685708474275000000,11.39,-95
1685708474392000000,11.507,-13
1685708474512000000,11.627,-58
1685708474629000000,11.744,-94
1685708474748000000,11.863,-110
1685708474860000000,11.975,-111
1685708474979000000,12.094,-104
1685708475095000000,12.21,0
1685708475213000000,12.328,-63
1685708475330000000,12.444999755859374,-90
1685708475448000000,12.563,-88
1685708475565000000,12.68,-87
1685708475682000000,12.796999755859375,-89
1685708475798000000,12.913000244140624,0
1685708475916000000,13.031,-61
1685708476033000000,13.148,-92
1685708476149000000,13.264,-101
1685708476271000000,13.386,-102
1685708476385000000,13.5,-18
1685708476504000000,13.619,0
1685708476619000000,13.734,-69
1685708476736000000,13.851,-96
1685708476854000000,13.969000244140625,-94
1685708476970000000,14.084999755859375,-90
1685708477092000000,14.207,-15
1685708477207000000,14.322,-66
1685708477325000000,14.44,-88
1685708477440000000,14.555,-90
1685708477559000000,14.674,-93
1685708477676000000,14.791,-95
1685708477794000000,14.908999755859375,0
1685708477911000000,15.026,-79
1685708478024000000,15.139,-106
1685708478141000000,15.256,-102
1685708478258000000,15.372999755859375,-97
1685708478375000000,15.49,-94
1685708478492000000,15.607,0
1685708478610000000,15.724999755859375,-69
1685708478728000000,15.843,-87
1685708478845000000,15.96,-89
1685708478960000000,16.075,-91
1685708479079000000,16.194,-92
1685708479195000000,16.31,-96
1685708479312000000,16.427,-102
1685708479430000000,16.545000244140624,-103
1685708479547000000,16.662,-111
1685708479664000000,16.779,-3
1685708479782000000,16.897000244140624,-37
1685708479897000000,17.012,-79
1685708480017000000,17.132,-91
1685708480132000000,17.247,-87
1685708480250000000,17.364999755859376,-85
1685708480368000000,17.483,-85
1685708480487000000,17.602,-87
1685708480604000000,17.719,-85
1685708480722000000,17.836999755859374,-87
1685708480854000000,17.969000244140624,0
1685708480973000000,18.088,-35
1685708481092000000,18.207,-76
1685708481210000000,18.324999755859373,-107
1685708481329000000,18.444,-107
1685708481444000000,18.559,-101
1685708481562000000,18.676999755859374,-99
1685708481680000000,18.795,-95
1685708481797000000,18.912,-94
1685708481913000000,19.028,-93
1685708482024000000,19.139,-88
1685708482140000000,19.255,0
1685708482258000000,19.372999755859375,-59
1685708482373000000,19.488,-93
1685708482491000000,19.606,-102
1685708482609000000,19.724,-110
1685708482726000000,19.841000244140623,-116
1685708482842000000,19.956999755859375,-108
1685708482961000000,20.076,-104
1685708483077000000,20.192,-101
1685708483193000000,20.308,0
