time,seconds_elapsed,dBFS
1687429469374000000,0.036000244140625,-160
1687429469492000000,0.154,-160
1687429469610000000,0.271999755859375,-160
1687429469726000000,0.388000244140625,-160
1687429469843000000,0.505,-100
1687429469961000000,0.623,-73
1687429470079000000,0.741,-60
1687429470195000000,0.857,-55
1687429470311000000,0.973,-47
1687429470429000000,1.091,-35
1687429470547000000,1.209,-59
1687429470665000000,1.327,-59
1687429470780000000,1.442,-56
1687429470897000000,1.559,-58
1687429471016000000,1.678,-62
1687429471132000000,1.794,-61
1687429471252000000,1.914,-61
1687429471367000000,2.029,-54
1687429471484000000,2.146,-54
1687429471600000000,2.262,-54
1687429471716000000,2.378,-61
1687429471834000000,2.495999755859375,-55
1687429471952000000,2.614,-55
1687429472072000000,2.734,-50
1687429472186000000,2.847999755859375,-39
1687429472307000000,2.969,-38
1687429472419000000,3.081,-34
1687429472536000000,3.198,-58
1687429472653000000,3.315,-51
1687429472770000000,3.431999755859375,-59
1687429472889000000,3.551,-50
1687429473006000000,3.668000244140625,-46
1687429473121000000,3.783,-48
1687429473238000000,3.900000244140625,-43
1687429473355000000,4.017,-47
1687429473473000000,4.135,-48
1687429473590000000,4.252000244140625,-48
1687429473706000000,4.367999755859375,-47
1687429473825000000,4.487,-44
1687429473940000000,4.602,-54
1687429474058000000,4.719999755859375,-30
1687429474175000000,4.837,-53
1687429474292000000,4.954,-48
1687429474409000000,5.071,-34
1687429474527000000,5.189,-47
1687429474643000000,5.305,-27
1687429474762000000,5.423999755859375,-41
1687429474878000000,5.540000244140625,-39
1687429474994000000,5.655999755859375,-42
1687429475111000000,5.773,-41
1687429475230000000,5.892000244140625,-41
1687429475332000000,5.994,-52
1687429475450000000,6.111999755859375,-31
1687429475569000000,6.231,-45
1687429475684000000,6.346,-48
1687429475802000000,6.463999755859375,-48
1687429475919000000,6.581,-37
1687429476037000000,6.699,-50
1687429476157000000,6.819,-47
1687429476268000000,6.93,-28
1687429476384000000,7.046,-40
1687429476504000000,7.166,-29
1687429476618000000,7.279999755859375,-40
1687429476735000000,7.397,-43
1687429476852000000,7.514,-43
1687429476970000000,7.631999755859375,-35
1687429477088000000,7.75,-37
1687429477204000000,7.866,-28
1687429477318000000,7.980000244140625,-40
1687429477438000000,8.100000244140626,-44
1687429477554000000,8.215999755859375,-29
1687429477671000000,8.333,-37
1687429477789000000,8.451,-27
1687429477907000000,8.569,-45
1687429478023000000,8.685,-38
1687429478141000000,8.803,-36
1687429478259000000,8.921,-46
1687429478375000000,9.037,-38
1687429478492000000,9.154,-30
1687429478610000000,9.271999755859374,-34
1687429478729000000,9.391,-22
1687429478846000000,9.508000244140625,-24
1687429478963000000,9.625,-25
1687429479078000000,9.740000244140624,-33
1687429479195000000,9.857,-34
1687429479314000000,9.975999755859375,-36
1687429479430000000,10.092000244140625,-23
1687429479547000000,10.209,-37
1687429479662000000,10.324000244140626,-30
1687429479780000000,10.442,-20
1687429479896000000,10.558,-30
1687429480014000000,10.676000244140624,-41
1687429480141000000,10.803,-40
1687429480249000000,10.911,-25
1687429480365000000,11.027,-45
1687429480482000000,11.143999755859374,-51
1687429480599000000,11.261,-43
1687429480717000000,11.379,-59
1687429480834000000,11.495999755859375,-65
1687429480951000000,11.613,-55
1687429481068000000,11.73,-66
1687429481186000000,11.847999755859375,-46
1687429481302000000,11.964000244140625,-51
1687429481420000000,12.082,-58
1687429481537000000,12.199,-47
1687429481654000000,12.316000244140625,-51
1687429481777000000,12.439,-42
1687429481889000000,12.551,-45
1687429482007000000,12.669,-53
1687429482123000000,12.785,-41
1687429482240000000,12.902,-54
1687429482356000000,13.018,-48
1687429482474000000,13.135999755859375,-37
1687429482592000000,13.254,-48
1687429482710000000,13.372000244140626,-55
1687429482826000000,13.487999755859375,-36
1687429482944000000,13.606,-53
1687429483059000000,13.721,-49
1687429483177000000,13.839,-48
1687429483295000000,13.957,-53
1687429483414000000,14.076000244140625,-50
1687429483531000000,14.193,-41
1687429483647000000,14.309,-45
1687429483764000000,14.426,-42
1687429483882000000,14.543999755859375,-49
1687429483998000000,14.660000244140624,-45
1687429484115000000,14.777,-46
1687429484222000000,14.884000244140625,-45
1687429484338000000,14.999999755859376,-30
1687429484456000000,15.118,-47
1687429484574000000,15.236000244140625,-33
1687429484692000000,15.354,-26
1687429484811000000,15.473,-28
1687429484929000000,15.591,-24
1687429485045000000,15.707,-33
1687429485152000000,15.814,-36
1687429485268000000,15.93,-40
1687429485384000000,16.046,-34
1687429485502000000,16.164000244140624,-34
1687429485617000000,16.279,-38
1687429485734000000,16.396000244140627,-31
1687429485851000000,16.513,-32
1687429485967000000,16.629,-45
1687429486084000000,16.746,-40
1687429486201000000,16.863,-33
1687429486317000000,16.979,-30
1687429486434000000,17.095999755859374,-37
1687429486550000000,17.212000244140626,-36
