time,seconds_elapsed,dBFS
1687429178244000000,0.009,-37.045387268066406
1687429178357000000,0.122,-34.80493927001953
1687429178474000000,0.238999755859375,-32.23262405395508
1687429178574000000,0.339000244140625,-33.23393249511719
1687429178674000000,0.438999755859375,-30.289478302001953
1687429178791000000,0.556,-30.2111759185791
1687429178891000000,0.656,-32.464378356933594
1687429178991000000,0.756,-33.89181137084961
1687429179108000000,0.873,-30.202104568481445
1687429179208000000,0.973,-29.438207626342773
1687429179308000000,1.073,-27.153425216674805
1687429179408000000,1.173,-29.23225212097168
1687429179509000000,1.274,-30.654367446899414
1687429179625000000,1.39,-30.28655433654785
1687429179725000000,1.49,-30.375516891479492
1687429179825000000,1.59,-31.72121810913086
1687429179926000000,1.691000244140625,-32.586483001708984
1687429180042000000,1.806999755859375,-31.476654052734375
1687429180142000000,1.907000244140625,-29.780658721923828
1687429180242000000,2.006999755859375,-31.330881118774414
1687429180342000000,2.107000244140625,-29.608510971069336
1687429180442000000,2.206999755859375,-29.847036361694336
1687429180542000000,2.307000244140625,-29.238101959228516
1687429180642000000,2.406999755859375,-30.967540740966797
1687429180743000000,2.508,-32.40085983276367
1687429180861000000,2.626,-33.06216049194336
1687429180961000000,2.726,-29.72266960144043
1687429181059000000,2.824,-30.88165855407715
1687429181159000000,2.924,-32.21959686279297
1687429181259000000,3.024,-30.923282623291016
1687429181360000000,3.125,-29.48200798034668
1687429181476000000,3.241,-31.191001892089844
1687429181576000000,3.341,-32.603538513183594
1687429181677000000,3.442,-29.757526397705078
1687429181777000000,3.542,-27.18425178527832
1687429181894000000,3.659000244140625,-29.864059448242188
1687429182010000000,3.774999755859375,-31.63736343383789
1687429182110000000,3.875000244140625,-30.17613410949707
1687429182210000000,3.974999755859375,-30.156803131103516
1687429182310000000,4.075000244140625,-31.60410499572754
1687429182410000000,4.174999755859375,-33.057342529296875
1687429182510000000,4.275000244140625,-28.626623153686523
1687429182610000000,4.374999755859375,-29.129674911499023
1687429182710000000,4.475000244140625,-30.40398406982422
1687429182810000000,4.574999755859375,-31.898273468017578
1687429182910000000,4.675000244140625,-31.428874969482422
1687429183011000000,4.776,-29.0253849029541
1687429183127000000,4.892,-30.519418716430664
1687429183227000000,4.992,-31.879032135009766
1687429183327000000,5.092,-31.583812713623047
1687429183428000000,5.193,-31.49174690246582
1687429183528000000,5.293,-30.143718719482422
1687429183644000000,5.409,-31.791170120239258
1687429183744000000,5.509,-30.958385467529297
1687429183844000000,5.609,-27.813690185546875
1687429183944000000,5.709,-29.639469146728516
1687429184044000000,5.809,-30.417400360107422
1687429184144000000,5.909,-31.44350242614746
1687429184244000000,6.009,-28.169151306152344
1687429184344000000,6.109,-30.026155471801758
1687429184444000000,6.209,-31.53036880493164
1687429184544000000,6.309,-32.512699127197266
1687429184645000000,6.41,-33.364986419677734
