time,seconds_elapsed,dBFS
1687531862397000000,0.059,-160
1687531862499000000,0.161,-160
1687531862616000000,0.278,-160
1687531862733000000,0.395,-160
1687531862850000000,0.511999755859375,-79
1687531862968000000,0.63,-74
1687531863086000000,0.748000244140625,-75
1687531863202000000,0.863999755859375,-95
1687531863320000000,0.982,-65
1687531863439000000,1.101,-80
1687531863557000000,1.219,-66
1687531863674000000,1.335999755859375,-78
1687531863796000000,1.458,-57
1687531863908000000,1.57,-61
1687531864025000000,1.687,-62
1687531864142000000,1.804000244140625,-58
1687531864258000000,1.919999755859375,-56
1687531864375000000,2.037,-57
1687531864491000000,2.153,-41
1687531864610000000,2.271999755859375,-35
1687531864726000000,2.388000244140625,-49
1687531864843000000,2.505,-37
1687531864960000000,2.622,-46
1687531865079000000,2.741,-13
1687531865195000000,2.857,-27
1687531865315000000,2.977,-37
1687531865433000000,3.095,-38
1687531865549000000,3.211,-32
1687531865665000000,3.327,-34
1687531865783000000,3.445,-52
1687531865898000000,3.559999755859375,-43
1687531866016000000,3.678,-28
1687531866133000000,3.795,-42
1687531866251000000,3.913,-29
1687531866368000000,4.03,-44
1687531866484000000,4.146,-21
1687531866601000000,4.263,-30
1687531866718000000,4.380000244140625,-29
1687531866836000000,4.498,0
1687531866953000000,4.615,-22
1687531867071000000,4.733,-19
1687531867185000000,4.847,-19
1687531867303000000,4.965,-34
1687531867419000000,5.081,-26
1687531867535000000,5.197,-19
1687531867652000000,5.314,-21
1687531867768000000,5.43,-48
1687531867884000000,5.546,-26
1687531868001000000,5.663,-32
1687531868117000000,5.779,-32
1687531868250000000,5.911999755859375,-27
1687531868357000000,6.019,-61
1687531868475000000,6.137,-28
1687531868591000000,6.253,-28
1687531868710000000,6.372000244140625,-64
1687531868827000000,6.489,-97
1687531868943000000,6.605,-16
1687531869060000000,6.722,-57
1687531869177000000,6.839,-78
1687531869293000000,6.955,-101
1687531869412000000,7.074,-103
1687531869528000000,7.19,-67
1687531869643000000,7.305,-123
1687531869761000000,7.423,-135
