time,seconds_elapsed,dBFS
1687527158938000000,0.021999755859375,-53.62809371948242
1687527159042000000,0.125999755859375,-53.760746002197266
1687527159159000000,0.243,-56.32323455810547
1687527159260000000,0.344,-58.15086364746094
1687527159376000000,0.46,-59.738094329833984
1687527159476000000,0.56,-59.272361755371094
1687527159577000000,0.661,-59.787113189697266
1687527159693000000,0.777,-4.329867362976074
1687527159793000000,0.877,-8.26856517791748
1687527159894000000,0.978000244140625,-13.531341552734375
1687527160011000000,1.095,-18.873516082763672
1687527160111000000,1.195,-23.129823684692383
1687527160212000000,1.296,-3.9476611614227295
1687527160311000000,1.395,-8.31292724609375
1687527160411000000,1.495,-12.133293151855469
1687527160512000000,1.596,-16.263952255249023
1687527160610000000,1.693999755859375,-21.543514251708984
1687527160711000000,1.795,-25.829038619995117
1687527160811000000,1.895,-7.068319320678711
1687527160927000000,2.011,-10.605724334716797
1687527161027000000,2.111,-14.48739242553711
1687527161128000000,2.212,-19.719276428222656
1687527161228000000,2.312,-23.853334426879883
1687527161328000000,2.412,-28.04589080810547
1687527161428000000,2.512,-7.020661354064941
1687527161528000000,2.612,-10.604198455810547
1687527161628000000,2.712,-14.679277420043945
1687527161744000000,2.828,-19.94118309020996
1687527161844000000,2.928,-25.212051391601562
1687527161944000000,3.028,-5.398427486419678
1687527162044000000,3.128,-5.7105889320373535
1687527162145000000,3.229,-10.378485679626465
1687527162261000000,3.345,-15.594526290893555
1687527162361000000,3.445,-19.93768310546875
1687527162461000000,3.545,-24.140438079833984
1687527162561000000,3.645,-29.61141014099121
1687527162661000000,3.745,-33.86750030517578
1687527162762000000,3.845999755859375,-38.07767868041992
1687527162861000000,3.945,-42.150299072265625
1687527162962000000,4.045999755859375,-46.99397659301758
1687527163062000000,4.146000244140625,-49.97465515136719
1687527163179000000,4.263,-53.77122116088867
1687527163279000000,4.363,-56.80195617675781
1687527163379000000,4.463,-7.98521089553833
1687527163479000000,4.563,-10.425941467285156
1687527163595000000,4.679,-15.088699340820312
1687527163695000000,4.779,-19.202714920043945
1687527163795000000,4.879,-24.61949920654297
1687527163895000000,4.979,-28.92243766784668
1687527163996000000,5.08,-33.206146240234375
1687527164096000000,5.18,-38.4931640625
1687527164196000000,5.28,-42.32487487792969
1687527164313000000,5.397,-46.87800216674805
1687527164413000000,5.497,-5.348712921142578
1687527164513000000,5.597,-9.959752082824707
1687527164630000000,5.714000244140625,-14.940559387207031
1687527164730000000,5.813999755859375,-19.066232681274414
1687527164829000000,5.913,-23.184720993041992
1687527164929000000,6.013,-28.492033004760742
1687527165030000000,6.114000244140625,-32.81830596923828
1687527165131000000,6.215,-37.096134185791016
