time,seconds_elapsed,dBFS
1687528092884000000,0.048,-52.81404495239258
1687528092983000000,0.147,-54.112335205078125
1687528093083000000,0.247,-54.28476333618164
1687528093201000000,0.365,-55.751930236816406
1687528093300000000,0.464,-47.97059631347656
1687528093401000000,0.565,-49.7574462890625
1687528093500000000,0.664,-52.9990119934082
1687528093601000000,0.765,-55.401187896728516
1687528093717000000,0.881,-57.81161117553711
1687528093818000000,0.981999755859375,-57.880863189697266
1687528093935000000,1.099,-54.15346908569336
1687528094035000000,1.199,-30.928234100341797
1687528094136000000,1.3,-34.08746337890625
1687528094252000000,1.416,-34.721336364746094
1687528094352000000,1.516,-37.54254913330078
1687528094452000000,1.616,-41.264652252197266
1687528094552000000,1.716,-32.38282775878906
1687528094652000000,1.816,-37.17141342163086
1687528094751000000,1.915,-25.313230514526367
1687528094852000000,2.016,-29.027999877929688
1687528094952000000,2.116,-24.105579376220703
1687528095052000000,2.216,-27.485271453857422
1687528095152000000,2.316,-13.755341529846191
1687528095269000000,2.433,-17.844987869262695
1687528095369000000,2.533,-17.96468162536621
1687528095469000000,2.633,-20.911758422851562
1687528095569000000,2.733,-24.853544235229492
1687528095687000000,2.851,-20.4555606842041
1687528095802000000,2.965999755859375,-25.150590896606445
1687528095919000000,3.083,-16.90012550354004
1687528096036000000,3.2,-21.974990844726562
1687528096136000000,3.3,-27.358577728271484
1687528096236000000,3.4,-31.64213752746582
1687528096336000000,3.5,-35.84746170043945
1687528096437000000,3.601,-41.04589080810547
1687528096553000000,3.717,-45.91055679321289
1687528096653000000,3.817,-49.39753341674805
1687528096753000000,3.917,-52.339107513427734
1687528096853000000,4.017,-20.012296676635742
1687528096970000000,4.133999755859375,-24.948930740356445
1687528097070000000,4.234000244140625,-29.14958381652832
1687528097170000000,4.333999755859375,-19.927522659301758
1687528097269000000,4.433,-23.6964168548584
1687528097370000000,4.533999755859375,-18.19705581665039
1687528097470000000,4.634000244140625,-21.657615661621094
