time,seconds_elapsed,dBFS
1688491949506000000,0.074999755859375,-160
1688491949623000000,0.192,-160
1688491949741000000,0.31,-160
1688491949858000000,0.426999755859375,-160
1688491949979000000,0.548,-77
1688491950095000000,0.664,-66
1688491950213000000,0.782,-62
1688491950330000000,0.898999755859375,-62
1688491950446000000,1.015000244140625,-62
1688491950562000000,1.130999755859375,-60
1688491950679000000,1.248,-62
1688491950798000000,1.367000244140625,-58
1688491950915000000,1.484,-61
1688491951031000000,1.6,-60
1688491951148000000,1.717,-59
1688491951266000000,1.834999755859375,-56
1688491951384000000,1.953,-56
1688491951501000000,2.07,-62
1688491951617000000,2.186,-56
1688491951734000000,2.303000244140625,-61
1688491951851000000,2.42,-58
1688491951967000000,2.536,-61
1688491952087000000,2.656,-59
1688491952212000000,2.781,-60
1688491952322000000,2.890999755859375,-58
1688491952441000000,3.01,-56
1688491952553000000,3.122,-62
1688491952671000000,3.24,-58
1688491952788000000,3.357,-61
1688491952904000000,3.473,-61
1688491953025000000,3.594,-58
1688491953143000000,3.712,-57
1688491953255000000,3.824,-60
1688491953373000000,3.942,-58
1688491953487000000,4.056,-61
1688491953609000000,4.178,-61
1688491953723000000,4.292,-59
1688491953839000000,4.408,-58
1688491953954000000,4.522999755859375,-58
1688491954071000000,4.64,-56
1688491954186000000,4.754999755859375,-59
1688491954302000000,4.871000244140625,-60
1688491954419000000,4.988,-59
1688491954535000000,5.104,-62
1688491954651000000,5.22,-56
1688491954768000000,5.337,-60
