time,seconds_elapsed,dBFS
1687529476129000000,0.012,-51.48551559448242
1687529476226000000,0.108999755859375,-46.360862731933594
1687529476326000000,0.209000244140625,-46.136322021484375
1687529476426000000,0.308999755859375,-47.87632369995117
1687529476526000000,0.409000244140625,-45.93983840942383
1687529476643000000,0.526,-32.906455993652344
1687529476743000000,0.626,-35.15233612060547
1687529476859000000,0.742,-38.38276290893555
1687529476961000000,0.844,-41.89717483520508
1687529477060000000,0.943,-44.633304595947266
1687529477159000000,1.042,-46.294185638427734
1687529477259000000,1.142,-47.791099548339844
1687529477359000000,1.242,-30.83390998840332
1687529477460000000,1.343,-33.59436798095703
1687529477577000000,1.46,-37.895301818847656
1687529477677000000,1.56,-41.792335510253906
1687529477777000000,1.66,-44.17330551147461
1687529477876000000,1.759,-46.12653350830078
1687529477976000000,1.859,-32.07346725463867
1687529478077000000,1.96,-33.7481575012207
1687529478176000000,2.059,-35.46938705444336
1687529478278000000,2.161000244140625,-33.266353607177734
1687529478394000000,2.276999755859375,-32.5135383605957
1687529478494000000,2.377000244140625,-31.95477867126465
1687529478593000000,2.476,-31.813087463378906
1687529478693000000,2.576,-31.441072463989258
1687529478794000000,2.676999755859375,-31.218265533447266
1687529478894000000,2.777000244140625,-32.06802749633789
1687529479010000000,2.892999755859375,-34.10946273803711
1687529479111000000,2.994,-35.768985748291016
1687529479211000000,3.094,-37.189571380615234
1687529479311000000,3.194,-34.74620819091797
1687529479410000000,3.292999755859375,-35.966548919677734
1687529479511000000,3.394,-37.119476318359375
1687529479628000000,3.511,-33.67639923095703
1687529479727000000,3.61,-33.280677795410156
1687529479827000000,3.71,-33.367347717285156
1687529479927000000,3.81,-30.886964797973633
1687529480028000000,3.911,-29.231487274169922
1687529480128000000,4.011,-27.762300491333008
1687529480244000000,4.127,-29.097599029541016
1687529480344000000,4.227,-29.96803092956543
1687529480444000000,4.327,-30.873165130615234
1687529480545000000,4.428,-30.22062873840332
1687529480662000000,4.545000244140625,-29.209667205810547
1687529480761000000,4.644,-29.355911254882812
1687529480861000000,4.744,-29.131153106689453
1687529480964000000,4.847,-29.443265914916992
1687529481079000000,4.962,-30.65983772277832
1687529481179000000,5.062,-30.698511123657227
1687529481279000000,5.162,-30.009267807006836
1687529481378000000,5.260999755859375,-28.31305694580078
1687529481478000000,5.361000244140625,-27.466938018798828
1687529481578000000,5.460999755859375,-29.74736976623535
1687529481679000000,5.562,-30.8731689453125
1687529481779000000,5.662,-31.887470245361328
1687529481879000000,5.762,-29.932701110839844
1687529481980000000,5.863,-29.65184211730957
1687529482095000000,5.978,-30.786865234375
1687529482196000000,6.079,-31.714204788208008
1687529482296000000,6.179,-31.57693862915039
1687529482395000000,6.278,-30.545917510986328
1687529482496000000,6.379,-31.64991569519043
1687529482595000000,6.478,-29.9932861328125
1687529482695000000,6.578,-31.272008895874023
1687529482796000000,6.679,-32.03909683227539
1687529482913000000,6.796,-31.854557037353516
1687529483015000000,6.898,-31.884126663208008
1687529483129000000,7.012,-29.31310272216797
1687529483229000000,7.112,-29.92411231994629
1687529483329000000,7.212,-31.351829528808594
1687529483430000000,7.313000244140625,-30.275684356689453
1687529483529000000,7.412,-29.481603622436523
1687529483630000000,7.513000244140625,-30.380992889404297
1687529483730000000,7.612999755859375,-30.636852264404297
1687529483829000000,7.712,-31.29335594177246
1687529483929000000,7.812,-31.51060676574707
1687529484030000000,7.913000244140625,-31.51449966430664
1687529484129000000,8.012,-32.3961067199707
1687529484230000000,8.113000244140625,-31.414215087890625
1687529484330000000,8.212999755859375,-29.193939208984375
