time,seconds_elapsed,dBFS
1687531725101000000,0.073,-160
1687531725219000000,0.191,-160
1687531725335000000,0.307,-160
1687531725454000000,0.426000244140625,-160
1687531725570000000,0.541999755859375,-71
1687531725688000000,0.66,-58
1687531725805000000,0.777,-54
1687531725922000000,0.893999755859375,-49
1687531726040000000,1.012,-49
1687531726158000000,1.130000244140625,-48
1687531726275000000,1.247,-55
1687531726392000000,1.364,-46
1687531726511000000,1.483,-46
1687531726626000000,1.597999755859375,-49
1687531726743000000,1.715,-40
1687531726862000000,1.834000244140625,-48
1687531726979000000,1.951,-53
1687531727095000000,2.067,-39
1687531727211000000,2.183,-45
1687531727329000000,2.301,-47
1687531727448000000,2.42,-46
1687531727563000000,2.535,-49
1687531727681000000,2.653,-29
1687531727799000000,2.771,-22
1687531727917000000,2.889,-43
1687531728033000000,3.005,-36
1687531728151000000,3.123,-46
1687531728266000000,3.237999755859375,-34
1687531728384000000,3.356,-38
1687531728502000000,3.474000244140625,-46
1687531728624000000,3.596,-50
1687531728739000000,3.711,-41
1687531728854000000,3.826000244140625,-41
1687531728971000000,3.943,-52
1687531729086000000,4.058000244140625,-41
1687531729203000000,4.175,-46
1687531729320000000,4.292,-43
1687531729437000000,4.409,-44
1687531729556000000,4.528,-48
1687531729673000000,4.645,-43
1687531729790000000,4.762000244140625,-45
1687531729906000000,4.877999755859375,-40
1687531730025000000,4.997,-54
1687531730141000000,5.113,-47
1687531730258000000,5.229999755859375,-46
1687531730375000000,5.347,-43
