time,seconds_elapsed,dBFS
1687528411938000000,0.044999755859375,-26.65999984741211
1687528412027000000,0.134,-22.52020263671875
1687528412128000000,0.235,-19.901220321655273
1687528412246000000,0.353000244140625,-21.82513999938965
1687528412345000000,0.452,-23.245235443115234
1687528412445000000,0.552,-24.5643253326416
1687528412561000000,0.668,-23.983747482299805
1687528412662000000,0.769000244140625,-25.80725860595703
1687528412762000000,0.868999755859375,-26.80388832092285
1687528412862000000,0.969000244140625,-26.630125045776367
1687528412964000000,1.071,-27.71593475341797
1687528413079000000,1.186,-26.479637145996094
1687528413178000000,1.284999755859375,-27.11334228515625
1687528413279000000,1.386,-26.789899826049805
1687528413379000000,1.486,-27.491804122924805
1687528413479000000,1.586,-24.70359230041504
1687528413579000000,1.686,-24.539052963256836
1687528413679000000,1.786,-25.686418533325195
1687528413798000000,1.905000244140625,-26.74372100830078
1687528413912000000,2.019,-27.4033260345459
1687528414029000000,2.136,-26.389780044555664
1687528414146000000,2.252999755859375,-26.424137115478516
1687528414263000000,2.37,-24.137544631958008
1687528414363000000,2.47,-25.462276458740234
1687528414464000000,2.571,-26.365264892578125
1687528414562000000,2.668999755859375,-26.576499938964844
1687528414663000000,2.77,-26.072856903076172
1687528414763000000,2.87,-26.876611709594727
1687528414862000000,2.969000244140625,-27.09829330444336
1687528414962000000,3.068999755859375,-26.173480987548828
1687528415063000000,3.17,-26.85996437072754
1687528415163000000,3.27,-26.21876335144043
1687528415280000000,3.387,-26.11368179321289
1687528415380000000,3.487,-27.25715446472168
1687528415497000000,3.604,-24.7598876953125
1687528415597000000,3.704,-26.079818725585938
1687528415697000000,3.804,-26.656497955322266
1687528415798000000,3.905000244140625,-27.56451988220215
1687528415914000000,4.020999755859375,-25.105379104614258
1687528416014000000,4.121000244140625,-26.193151473999023
1687528416130000000,4.236999755859375,-25.510499954223633
1687528416231000000,4.338,-25.475841522216797
1687528416348000000,4.455,-25.075334548950195
1687528416464000000,4.571,-24.97175407409668
1687528416564000000,4.671,-26.002912521362305
1687528416664000000,4.771,-26.69744110107422
1687528416764000000,4.871,-26.493268966674805
1687528416881000000,4.988,-25.156742095947266
1687528416981000000,5.088,-24.9856014251709
1687528417081000000,5.188,-25.397628784179688
1687528417181000000,5.288,-26.624059677124023
1687528417281000000,5.388,-27.07668113708496
1687528417398000000,5.505000244140625,-27.627534866333008
1687528417498000000,5.604999755859375,-26.3570613861084
1687528417598000000,5.705000244140625,-26.25914764404297
1687528417698000000,5.804999755859375,-26.94706153869629
1687528417798000000,5.905000244140625,-27.382003784179688
1687528417914000000,6.020999755859375,-26.985315322875977
1687528418015000000,6.122,-25.149322509765625
1687528418115000000,6.222,-26.01522445678711
1687528418214000000,6.321000244140625,-26.043161392211914
1687528418315000000,6.422,-26.525178909301758
1687528418415000000,6.522,-27.206892013549805
1687528418515000000,6.622,-27.056631088256836
1687528418615000000,6.722,-27.869483947753906
1687528418715000000,6.822,-27.957399368286133
1687528418815000000,6.922,-27.133108139038086
1687528418915000000,7.022,-27.70428466796875
1687528419015000000,7.122,-28.461639404296875
1687528419132000000,7.239,-28.872133255004883
1687528419232000000,7.339,-29.597049713134766
