time,seconds_elapsed,dBFS
1687527430619000000,0.027,-47.607120513916016
1687527430725000000,0.133,-18.514408111572266
1687527430842000000,0.249999755859375,-22.04029083251953
1687527430959000000,0.367,-26.36153221130371
1687527431059000000,0.467,-19.803190231323242
1687527431159000000,0.567,-22.78097152709961
1687527431259000000,0.667,-26.753101348876953
1687527431359000000,0.767,-16.197961807250977
1687527431459000000,0.867,-18.9301700592041
1687527431576000000,0.984,-23.64676284790039
1687527431676000000,1.084,-27.857751846313477
1687527431777000000,1.185,-19.7177677154541
1687527431894000000,1.302000244140625,-24.518739700317383
1687527432010000000,1.417999755859375,-29.44637680053711
1687527432127000000,1.535,-11.950467109680176
1687527432243000000,1.651,-16.72345542907715
1687527432344000000,1.752,-20.928327560424805
1687527432444000000,1.852,-17.228771209716797
1687527432544000000,1.952,-20.080766677856445
1687527432660000000,2.068,-24.70619010925293
1687527432760000000,2.168,-22.475011825561523
1687527432860000000,2.268,-20.01401710510254
1687527432961000000,2.369,-24.210811614990234
1687527433061000000,2.469,-27.76620864868164
1687527433161000000,2.569,-18.93536949157715
1687527433261000000,2.669,-20.77709197998047
1687527433360000000,2.768,-25.385684967041016
1687527433461000000,2.869,-29.31813621520996
1687527433577000000,2.985,-34.34824752807617
1687527433678000000,3.086000244140625,-22.995262145996094
1687527433777000000,3.185,-23.022724151611328
1687527433877000000,3.285,-26.792795181274414
1687527433978000000,3.385999755859375,-30.655427932739258
1687527434095000000,3.503,-35.289119720458984
1687527434211000000,3.619,-17.395992279052734
1687527434311000000,3.719,-20.639636993408203
1687527434411000000,3.819,-24.583166122436523
1687527434511000000,3.919,-28.727811813354492
1687527434611000000,4.019,-34.106510162353516
1687527434712000000,4.12,-37.75856018066406
1687527434828000000,4.236,-21.373294830322266
1687527434928000000,4.336,-24.160432815551758
1687527435029000000,4.437,-28.394878387451172
1687527435146000000,4.553999755859375,-33.23488235473633
1687527435245000000,4.653,-36.860496520996094
1687527435346000000,4.753999755859375,-16.791671752929688
1687527435447000000,4.855,-20.270559310913086
1687527435562000000,4.969999755859375,-25.0881404876709
1687527435679000000,5.087,-29.919635772705078
1687527435795000000,5.203,-34.83987808227539
1687527435895000000,5.303,-15.152237892150879
1687527435995000000,5.403,-18.243947982788086
1687527436095000000,5.503,-23.210052490234375
1687527436195000000,5.603,-27.339359283447266
1687527436295000000,5.703,-31.488117218017578
1687527436395000000,5.803,-35.749267578125
1687527436496000000,5.904,-16.210914611816406
1687527436612000000,6.02,-20.723073959350586
1687527436712000000,6.12,-24.511962890625
1687527436812000000,6.22,-28.574853897094727
1687527436913000000,6.321,-33.84117889404297
1687527437013000000,6.421,-14.34532356262207
1687527437112000000,6.52,-16.971195220947266
1687527437212000000,6.62,-21.952756881713867
1687527437313000000,6.721,-25.78082847595215
1687527437413000000,6.821,-29.931283950805664
1687527437529000000,6.937,-35.161956787109375
1687527437629000000,7.037,-16.34808921813965
1687527437729000000,7.137,-19.601163864135742
1687527437829000000,7.237,-23.501253128051758
