time,seconds_elapsed,dBFS
1687529583259000000,0.04,-47.49541473388672
1687529583366000000,0.147000244140625,-41.17615509033203
1687529583466000000,0.246999755859375,-42.65604782104492
1687529583583000000,0.364,-40.802513122558594
1687529583683000000,0.464,-29.78286361694336
1687529583800000000,0.581,-33.123435974121094
1687529583900000000,0.681,-36.42434310913086
1687529584000000000,0.781,-39.18002700805664
1687529584100000000,0.881,-41.97281265258789
1687529584201000000,0.982,-43.73245620727539
1687529584317000000,1.098,-36.50568389892578
1687529584417000000,1.198,-36.3162841796875
1687529584518000000,1.299000244140625,-39.261714935302734
1687529584618000000,1.398999755859375,-42.00780487060547
1687529584718000000,1.499000244140625,-41.72985076904297
1687529584818000000,1.598999755859375,-38.0491828918457
1687529584917000000,1.698,-32.933189392089844
1687529585018000000,1.798999755859375,-35.47742462158203
1687529585136000000,1.917,-39.26603317260742
1687529585251000000,2.032,-37.670963287353516
1687529585351000000,2.132,-27.989351272583008
1687529585451000000,2.232,-23.791961669921875
1687529585551000000,2.332,-25.180864334106445
1687529585651000000,2.432,-26.27656364440918
1687529585752000000,2.533,-27.07890510559082
1687529585852000000,2.633,-26.418621063232422
1687529585951000000,2.732,-27.95757293701172
1687529586052000000,2.833,-30.83240509033203
1687529586151000000,2.932,-32.270267486572266
1687529586251000000,3.032,-34.3434944152832
1687529586369000000,3.15,-33.807701110839844
1687529586469000000,3.25,-34.99789810180664
1687529586568000000,3.349,-29.38811492919922
1687529586669000000,3.45,-31.63909912109375
1687529586787000000,3.568,-32.54863357543945
1687529586902000000,3.683000244140625,-34.75857162475586
1687529587002000000,3.782999755859375,-31.952491760253906
1687529587103000000,3.884,-29.310972213745117
1687529587202000000,3.982999755859375,-30.79930877685547
1687529587302000000,4.083000244140625,-29.764432907104492
1687529587402000000,4.182999755859375,-28.2978572845459
1687529587502000000,4.283000244140625,-29.88018035888672
1687529587602000000,4.382999755859375,-30.166465759277344
1687529587703000000,4.484,-31.65323829650879
1687529587820000000,4.601,-27.8607120513916
1687529587938000000,4.718999755859375,-29.557376861572266
1687529588053000000,4.834,-31.135215759277344
1687529588169000000,4.95,-29.932493209838867
1687529588270000000,5.051000244140625,-30.868799209594727
1687529588370000000,5.150999755859375,-29.423486709594727
1687529588486000000,5.267000244140625,-30.850706100463867
1687529588586000000,5.366999755859375,-29.11378288269043
1687529588686000000,5.467000244140625,-28.691234588623047
1687529588786000000,5.566999755859375,-30.400930404663086
1687529588886000000,5.667000244140625,-31.242271423339844
1687529588986000000,5.766999755859375,-32.24722671508789
1687529589086000000,5.867000244140625,-30.313804626464844
1687529589187000000,5.968,-28.568836212158203
1687529589303000000,6.084,-30.24036407470703
1687529589403000000,6.184,-28.98257827758789
1687529589503000000,6.284,-30.235069274902344
1687529589604000000,6.385,-31.059368133544922
1687529589703000000,6.484,-32.00685119628906
1687529589803000000,6.584,-31.951900482177734
1687529589903000000,6.684,-28.816675186157227
1687529590003000000,6.784,-31.118988037109375
1687529590104000000,6.885,-28.475107192993164
1687529590220000000,7.001,-30.40864372253418
1687529590320000000,7.101,-31.845914840698242
1687529590420000000,7.201,-30.632305145263672
1687529590520000000,7.301,-31.307157516479492
1687529590621000000,7.402,-29.528982162475586
