time,seconds_elapsed,dBFS
1687529189735000000,0.011,-50.076133728027344
1687529189832000000,0.108,-42.89204025268555
1687529189932000000,0.208,-45.05509567260742
1687529190034000000,0.309999755859375,-45.04032897949219
1687529190150000000,0.426000244140625,-47.144710540771484
1687529190267000000,0.543,-48.0959358215332
1687529190366000000,0.642000244140625,-48.25018310546875
1687529190467000000,0.743,-48.86020278930664
1687529190567000000,0.843,-45.392208099365234
1687529190667000000,0.943,-46.62062072753906
1687529190784000000,1.06,-44.43448257446289
1687529190884000000,1.16,-45.983734130859375
1687529190984000000,1.26,-46.9339714050293
1687529191084000000,1.36,-47.363929748535156
1687529191184000000,1.46,-46.50906753540039
1687529191284000000,1.56,-44.956199645996094
1687529191384000000,1.66,-44.461151123046875
1687529191484000000,1.76,-44.59832000732422
1687529191601000000,1.877,-44.233036041259766
1687529191701000000,1.977,-44.10335922241211
1687529191801000000,2.077,-44.294944763183594
1687529191901000000,2.177,-40.582847595214844
1687529192001000000,2.277,-41.81768035888672
1687529192101000000,2.377,-43.26363754272461
1687529192201000000,2.477,-43.51607894897461
1687529192318000000,2.594000244140625,-44.3754768371582
1687529192418000000,2.693999755859375,-45.14094161987305
1687529192518000000,2.794000244140625,-43.622955322265625
1687529192618000000,2.893999755859375,-44.70956039428711
1687529192735000000,3.011,-45.73828125
1687529192836000000,3.112,-45.21824645996094
1687529192935000000,3.211,-41.26042175292969
1687529193035000000,3.311,-42.78240203857422
1687529193139000000,3.415,-41.677330017089844
1687529193252000000,3.528,-39.69218063354492
1687529193352000000,3.628,-35.78549575805664
1687529193451000000,3.727,-37.889610290527344
1687529193552000000,3.828,-40.04061508178711
1687529193651000000,3.927,-42.697662353515625
1687529193752000000,4.028,-43.5977897644043
1687529193852000000,4.128,-44.59929656982422
1687529193952000000,4.228,-43.8694953918457
1687529194069000000,4.345,-43.997406005859375
1687529194169000000,4.445,-44.84932327270508
1687529194269000000,4.545,-45.683433532714844
1687529194370000000,4.645999755859375,-44.78497314453125
1687529194486000000,4.762000244140625,-44.73233413696289
1687529194586000000,4.861999755859375,-43.30034255981445
1687529194685000000,4.961,-43.91239547729492
1687529194787000000,5.063,-37.7769889831543
1687529194903000000,5.179,-38.84153366088867
1687529195003000000,5.279,-40.318634033203125
1687529195104000000,5.38,-41.571441650390625
1687529195203000000,5.479,-43.28805923461914
1687529195302000000,5.578000244140625,-42.74972915649414
1687529195402000000,5.677999755859375,-44.38516616821289
1687529195503000000,5.779,-44.15126419067383
1687529195603000000,5.879,-40.56968307495117
1687529195702000000,5.978000244140625,-42.111392974853516
1687529195802000000,6.077999755859375,-43.66416931152344
1687529195903000000,6.179,-43.699493408203125
1687529196003000000,6.279,-44.91328811645508
1687529196103000000,6.379,-44.0370979309082
1687529196220000000,6.496,-45.716224670410156
1687529196320000000,6.596,-42.87473678588867
1687529196420000000,6.696,-43.826847076416016
1687529196520000000,6.796,-45.18999481201172
1687529196620000000,6.896,-47.16584777832031
1687529196720000000,6.996,-44.66130447387695
1687529196820000000,7.096,-45.92824935913086
1687529196920000000,7.196,-44.340599060058594
1687529197037000000,7.313,-45.316009521484375
1687529197137000000,7.413,-46.277008056640625
1687529197237000000,7.513,-47.27488708496094
1687529197337000000,7.613,-45.71523666381836
1687529197437000000,7.713,-46.91736602783203
1687529197537000000,7.813,-45.65178680419922
1687529197639000000,7.915,-43.54899597167969
1687529197753000000,8.029,-45.30406951904297
1687529197854000000,8.130000244140625,-43.24564743041992
1687529197954000000,8.229999755859374,-44.196876525878906
1687529198054000000,8.330000244140624,-38.76488494873047
1687529198171000000,8.447,-39.48322296142578
1687529198271000000,8.547,-42.378299713134766
1687529198371000000,8.647,-43.83211898803711
1687529198471000000,8.747,-40.19853591918945
1687529198571000000,8.847,-37.254966735839844
1687529198671000000,8.947,-39.80366134643555
1687529198771000000,9.047,-42.13725662231445
1687529198871000000,9.147,-43.5836181640625
1687529198971000000,9.247,-43.88224792480469
1687529199088000000,9.364,-43.11223220825195
1687529199188000000,9.464,-42.599002838134766
1687529199288000000,9.564,-41.961185455322266
1687529199388000000,9.664,-43.24540710449219
1687529199488000000,9.764,-41.260475158691406
1687529199588000000,9.864,-42.41729736328125
1687529199688000000,9.964,-43.63908004760742
1687529199804000000,10.08,-41.370662689208984
1687529199905000000,10.181,-40.24091720581055
1687529200005000000,10.281,-39.47957229614258
1687529200122000000,10.397999755859376,-37.504356384277344
1687529200222000000,10.498000244140625,-38.41749572753906
1687529200322000000,10.597999755859375,-39.936031341552734
1687529200422000000,10.698000244140625,-40.705711364746094
1687529200522000000,10.797999755859376,-36.116455078125
1687529200639000000,10.915,-38.6068000793457
1687529200739000000,11.015,-40.67782974243164
1687529200839000000,11.115,-42.528228759765625
1687529200940000000,11.216,-40.33017349243164
1687529201040000000,11.316,-41.80857849121094
1687529201139000000,11.415,-40.914337158203125
1687529201240000000,11.516,-40.302982330322266
1687529201340000000,11.616,-35.07963943481445
1687529201439000000,11.715,-37.03791427612305
1687529201540000000,11.816,-39.369258880615234
1687529201640000000,11.916,-41.72372055053711
1687529201756000000,12.032,-43.41746520996094
1687529201856000000,12.132,-44.321678161621094
1687529201956000000,12.232,-40.04855728149414
1687529202056000000,12.332,-42.58686447143555
1687529202173000000,12.449,-43.276126861572266
1687529202273000000,12.549,-43.52222442626953
1687529202373000000,12.649,-44.258174896240234
1687529202473000000,12.749,-43.556617736816406
1687529202573000000,12.849,-44.31672668457031
1687529202673000000,12.949,-44.672630310058594
1687529202773000000,13.049,-42.679325103759766
1687529202872000000,13.148,-44.42728042602539
1687529202973000000,13.249,-43.958560943603516
1687529203073000000,13.349,-45.49299621582031
1687529203189000000,13.465,-46.65775680541992
1687529203290000000,13.565999755859375,-42.5906982421875
1687529203389000000,13.665,-43.28769302368164
1687529203490000000,13.765999755859376,-42.11918640136719
1687529203590000000,13.866000244140626,-42.27321243286133
1687529203690000000,13.965999755859375,-44.208919525146484
1687529203790000000,14.066000244140625,-45.28215789794922
1687529203890000000,14.165999755859374,-44.292808532714844
1687529204007000000,14.283,-44.636436462402344
1687529204107000000,14.383,-43.531314849853516
1687529204224000000,14.5,-44.4665412902832
1687529204324000000,14.6,-45.011924743652344
1687529204424000000,14.7,-41.6348876953125
1687529204524000000,14.8,-43.19093704223633
1687529204641000000,14.917,-44.018035888671875
1687529204757000000,15.033,-42.67902755737305
1687529204874000000,15.149999755859374,-43.741397857666016
1687529204991000000,15.267,-45.53832244873047
1687529205090000000,15.365999755859375,-45.316383361816406
1687529205191000000,15.467,-42.84453201293945
1687529205291000000,15.567,-44.3828010559082
1687529205391000000,15.667,-45.325862884521484
1687529205491000000,15.767,-39.587310791015625
1687529205591000000,15.867,-41.451141357421875
1687529205707000000,15.983,-42.31064224243164
1687529205808000000,16.084,-43.581268310546875
1687529205908000000,16.184,-44.21592712402344
1687529206008000000,16.284,-45.222076416015625
1687529206108000000,16.384,-43.132896423339844
1687529206208000000,16.484,-39.8569450378418
1687529206325000000,16.601,-41.46276092529297
1687529206425000000,16.701,-39.05625915527344
1687529206525000000,16.801,-40.27314376831055
1687529206624000000,16.9,-41.696414947509766
1687529206725000000,17.001,-37.505096435546875
1687529206825000000,17.101,-39.08137893676758
1687529206942000000,17.218000244140626,-41.19786834716797
1687529207058000000,17.333999755859374,-42.24651336669922
1687529207176000000,17.452,-43.91864013671875
1687529207292000000,17.568,-41.63538360595703
1687529207392000000,17.668,-43.007408142089844
1687529207492000000,17.768,-39.55424880981445
1687529207592000000,17.868,-40.94883346557617
1687529207692000000,17.968,-30.154356002807617
1687529207792000000,18.068,-34.07864761352539
1687529207909000000,18.185,-37.621681213378906
1687529208009000000,18.285,-39.685306549072266
1687529208109000000,18.385,-41.51711654663086
1687529208209000000,18.485,-43.10660934448242
1687529208309000000,18.585,-39.5872917175293
1687529208409000000,18.685,-41.0129508972168
1687529208526000000,18.802000244140626,-38.809547424316406
1687529208644000000,18.92,-41.76215744018555
1687529208759000000,19.035,-38.09454345703125
1687529208876000000,19.152,-40.28206253051758
1687529208993000000,19.269,-42.346805572509766
1687529209093000000,19.369,-39.202049255371094
1687529209193000000,19.469,-41.92024612426758
1687529209293000000,19.569,-43.10258865356445
1687529209393000000,19.669,-44.4893684387207
1687529209493000000,19.769,-44.96236801147461
1687529209593000000,19.869,-45.711116790771484
1687529209709000000,19.985,-46.655887603759766
1687529209809000000,20.085,-45.05280685424805
1687529209910000000,20.186000244140626,-44.65484619140625
1687529210010000000,20.285999755859375,-45.7931022644043
1687529210110000000,20.386000244140625,-46.42709732055664
1687529210210000000,20.485999755859375,-45.08036804199219
1687529210310000000,20.586000244140624,-46.34526824951172
1687529210410000000,20.685999755859374,-37.63602066040039
1687529210527000000,20.803,-37.10041809082031
1687529210644000000,20.92,-40.51797103881836
1687529210760000000,21.036,-43.15325927734375
1687529210877000000,21.153,-40.74698257446289
1687529210993000000,21.269,-43.53489685058594
1687529211093000000,21.369,-44.2255744934082
1687529211193000000,21.469,-36.945465087890625
1687529211294000000,21.570000244140626,-38.97057342529297
1687529211393000000,21.669,-41.349544525146484
1687529211493000000,21.769,-41.53850555419922
1687529211593000000,21.869,-43.57843017578125
1687529211693000000,21.969,-45.11861801147461
1687529211794000000,22.069999755859374,-44.70535659790039
1687529211893000000,22.169,-45.863548278808594
1687529211993000000,22.269,-46.963096618652344
1687529212094000000,22.370000244140623,-40.290245056152344
1687529212194000000,22.469999755859376,-42.418758392333984
1687529212310000000,22.586000244140624,-43.66783142089844
1687529212410000000,22.685999755859374,-42.49761962890625
1687529212510000000,22.786000244140624,-42.64765548706055
1687529212610000000,22.885999755859373,-43.645938873291016
1687529212711000000,22.987,-40.770469665527344
1687529212811000000,23.087,-39.15143585205078
1687529212927000000,23.203,-35.49386215209961
1687529213028000000,23.304,-35.803382873535156
