time,seconds_elapsed,dBFS
1687527428051000000,0.064,-160
1687527428170000000,0.182999755859375,-160
1687527428287000000,0.3,-160
1687527428403000000,0.416,-160
1687527428521000000,0.534,-80
1687527428638000000,0.651000244140625,-80
1687527428756000000,0.769,-101
1687527428874000000,0.886999755859375,0
1687527428991000000,1.004,-48
1687527429107000000,1.12,-73
1687527429225000000,1.238,-105
1687527429342000000,1.355000244140625,0
1687527429459000000,1.472,-58
1687527429577000000,1.59,-81
1687527429696000000,1.709,-6
1687527429811000000,1.824,-37
1687527429938000000,1.950999755859375,-65
1687527430044000000,2.057,-113
1687527430163000000,2.176,-14
1687527430279000000,2.292,-59
1687527430398000000,2.411000244140625,-85
1687527430514000000,2.526999755859375,-119
1687527430632000000,2.645,-15
1687527430749000000,2.762,-54
1687527430866000000,2.878999755859375,-82
1687527430983000000,2.996,-115
1687527431101000000,3.114,0
1687527431217000000,3.23,-54
1687527431336000000,3.349,-70
1687527431451000000,3.464,-109
1687527431568000000,3.581,0
1687527431685000000,3.698,-49
1687527431805000000,3.818,-81
1687527431921000000,3.934,-113
1687527432037000000,4.05,-26
1687527432155000000,4.168,-62
1687527432273000000,4.286,-100
1687527432393000000,4.406,-124
1687527432506000000,4.518999755859375,-15
1687527432626000000,4.638999755859375,-46
1687527432741000000,4.754,-75
1687527432858000000,4.870999755859375,-104
1687527432976000000,4.989,-127
1687527433090000000,5.102999755859375,-2
1687527433207000000,5.22,-53
1687527433325000000,5.338,-86
1687527433442000000,5.454999755859375,-118
1687527433561000000,5.574,-130
1687527433678000000,5.691000244140625,-100
1687527433792000000,5.805,-4
1687527433910000000,5.923000244140625,-43
1687527434026000000,6.038999755859375,-70
1687527434144000000,6.157,-101
1687527434260000000,6.273,-121
1687527434379000000,6.392,-129
1687527434497000000,6.51,-138
1687527434613000000,6.626,-12
1687527434729000000,6.742,-46
1687527434845000000,6.858,-82
1687527434963000000,6.976,-114
1687527435082000000,7.094999755859375,-130
1687527435202000000,7.214999755859375,-138
1687527435318000000,7.331000244140625,-139
