time,seconds_elapsed,dBFS
1687530969827000000,0.071,-160.0
1687530969945000000,0.189,-160.0
1687530970062000000,0.306000244140625,-160.0
1687530970180000000,0.424,-160.0
1687530970296000000,0.54,-70.0
1687530970414000000,0.658000244140625,-58.0
1687530970534000000,0.778000244140625,-49.0
1687530970647000000,0.891,-48.0
1687530970764000000,1.008,-50.0
1687530970883000000,1.127,-49.0
1687530970999000000,1.243,-51.0
1687530971119000000,1.363,-48.0
1687530971233000000,1.477,-47.0
1687530971350000000,1.594000244140625,-49.0
1687530971469000000,1.713,-48.0
1687530971585000000,1.829,-50.0
1687530971709000000,1.953,-47.0
1687530971821000000,2.065,-48.0
1687530971934000000,2.178000244140625,-47.0
1687530972051000000,2.295,-47.0
1687530972171000000,2.415,-46.0
1687530972286000000,2.530000244140625,-49.0
1687530972403000000,2.647,-48.0
1687530972521000000,2.765,-48.0
1687530972638000000,2.882000244140625,-49.0
1687530972754000000,2.997999755859375,-51.0
1687530972871000000,3.115,-49.0
1687530972989000000,3.233,-43.0
1687530973107000000,3.351,-48.0
1687530973223000000,3.467,-49.0
1687530973340000000,3.584,-50.0
1687530973456000000,3.7,-44.0
1687530973574000000,3.818000244140625,-50.0
1687530973691000000,3.935,-49.0
1687530973808000000,4.052,-46.0
1687530973927000000,4.171,-47.0
1687530974041000000,4.285,-50.0
1687530974159000000,4.403,-45.0
1687530974275000000,4.519,-48.0
1687530974392000000,4.636,-49.0
1687530974509000000,4.753,-49.0
1687530974627000000,4.871,-51.0
1687530974739000000,4.983,-50.0
1687530974844000000,5.088,-49.0
1687530974961000000,5.205,-46.0
1687530975078000000,5.322000244140625,-49.0
1687530975195000000,5.439,-46.0
1687530975311000000,5.555,-49.0
1687530975429000000,5.673,-50.0
1687530975547000000,5.791,-47.0
1687530975661000000,5.905,-47.0
1687530975780000000,6.024,-46.0
1687530975896000000,6.14,-46.0
1687530976013000000,6.257,-47.0
1687530976132000000,6.376,-44.0
1687530976246000000,6.490000244140625,-49.0
1687530976363000000,6.607,-49.0
1687530976481000000,6.725,-47.0
1687530976597000000,6.841,-46.0
1687530976715000000,6.959,-48.0
1687530976835000000,7.079,-46.0
1687530976951000000,7.195,-45.0
1687530977067000000,7.311,-48.0
1687530977185000000,7.429,-47.0
1687530977303000000,7.547,-48.0
1687530977418000000,7.661999755859375,-48.0
1687530977535000000,7.779,-45.0
1687530977652000000,7.896,-46.0
1687530977770000000,8.013999755859375,-48.0
1687530977887000000,8.131,-46.0
1687530978003000000,8.247,-46.0
1687530978119000000,8.363,-49.0
1687530978237000000,8.481,-48.0
1687530978351000000,8.595,-47.0
1687530978468000000,8.712,-47.0
1687530978585000000,8.829,-48.0
1687530978701000000,8.945,-49.0
1687530978823000000,9.067,-49.0
1687530978935000000,9.179,-48.0
1687530979049000000,9.293,-48.0
1687530979168000000,9.412,-49.0
1687530979282000000,9.525999755859376,-50.0
1687530979399000000,9.643,-46.0
1687530979515000000,9.759,-48.0
1687530979632000000,9.876,-46.0
1687530979743000000,9.987,-49.0
1687530979862000000,10.106000244140626,-48.0
1687530979980000000,10.224,-46.0
1687530980097000000,10.341,-46.0
1687530980212000000,10.456,-51.0
1687530980328000000,10.572,-47.0
1687530980446000000,10.690000244140624,-51.0
1687530980565000000,10.809,-46.0
1687530980679000000,10.923,-49.0
1687530980797000000,11.041,-47.0
1687530980914000000,11.157999755859375,-49.0
1687530981031000000,11.275,-47.0
1687530981149000000,11.393,-48.0
1687530981267000000,11.511,-47.0
1687530981383000000,11.627,-50.0
1687530981500000000,11.744,-50.0
1687530981621000000,11.865,-46.0
1687530981733000000,11.977,-47.0
1687530981850000000,12.093999755859375,-50.0
1687530981969000000,12.213,-49.0
1687530982086000000,12.330000244140624,-48.0
1687530982203000000,12.447,-48.0
1687530982320000000,12.564,-47.0
1687530982436000000,12.68,-50.0
1687530982552000000,12.796,-49.0
1687530982669000000,12.913,-50.0
1687530982788000000,13.032,-51.0
1687530982906000000,13.149999755859374,-48.0
1687530983021000000,13.265,-48.0
1687530983138000000,13.381999755859376,-47.0
1687530983256000000,13.5,-47.0
1687530983372000000,13.616,-46.0
1687530983490000000,13.733999755859376,-50.0
1687530983607000000,13.851,-50.0
1687530983725000000,13.969,-49.0
1687530983841000000,14.085,-46.0
1687530983957000000,14.201,-49.0
1687530984075000000,14.319,-50.0
1687530984191000000,14.435,-49.0
1687530984308000000,14.552,-50.0
1687530984426000000,14.669999755859376,-48.0
1687530984543000000,14.787,-28.0
1687530984660000000,14.904,-44.0
1687530984777000000,15.021,-49.0
1687530984893000000,15.137,-49.0
1687530985010000000,15.253999755859375,-49.0
1687530985129000000,15.373,-36.0
1687530985245000000,15.489,-39.0
1687530985365000000,15.609,-47.0
1687530985481000000,15.725,-48.0
1687530985596000000,15.84,-49.0
1687530985713000000,15.957,-50.0
1687530985829000000,16.073,-49.0
1687530985946000000,16.189999755859375,-46.0
1687530986064000000,16.308,-46.0
1687530986179000000,16.423,-48.0
1687530986295000000,16.539,-46.0
1687530986414000000,16.658000244140624,-45.0
1687530986529000000,16.773,-47.0
1687530986646000000,16.890000244140627,-47.0
1687530986762000000,17.005999755859374,-48.0
1687530986880000000,17.124,-47.0
1687530986995000000,17.239,-45.0
1687530987111000000,17.355,-47.0
1687530987229000000,17.473,-43.0
1687530987346000000,17.589999755859374,-49.0
1687530987462000000,17.706000244140625,-47.0
1687530987578000000,17.821999755859373,-45.0
1687530987688000000,17.932,-45.0
1687530987805000000,18.049,-46.0
1687530987920000000,18.164,-46.0
1687530988034000000,18.277999755859376,-47.0
1687530988150000000,18.394000244140624,-47.0
1687530988266000000,18.509999755859376,-46.0
1687530988381000000,18.625,-48.0
1687530988498000000,18.74199975585937,-46.0
1687530988615000000,18.859,-47.0
1687530988732000000,18.976,-48.0
1687530988848000000,19.092,-48.0
1687530988966000000,19.210000244140623,-46.0
1687530989080000000,19.324,-47.0
1687530989198000000,19.442000244140623,-44.0
1687530989312000000,19.556,-46.0
1687530989430000000,19.674000244140625,-43.0
1687530989545000000,19.789,-47.0
1687530989660000000,19.904,-44.0
1687530989778000000,20.021999755859376,-42.0
1687530989894000000,20.138000244140624,-50.0
1687530990011000000,20.255,-45.0
1687530990128000000,20.372,-46.0
1687530990247000000,20.491,-47.0
1687530990362000000,20.605999755859376,-39.0
1687530990479000000,20.723,-45.0
1687530990597000000,20.841,-44.0
1687530990713000000,20.957,-50.0
1687530990832000000,21.076,-45.0
