time,seconds_elapsed,dBFS
1687528674515000000,0.07,-160
1687528674634000000,0.188999755859375,-160
1687528674751000000,0.306,-160
1687528674867000000,0.422,-160
1687528674983000000,0.538,-84
1687528675101000000,0.656,-60
1687528675220000000,0.775,-50
1687528675336000000,0.891,-38
1687528675454000000,1.009000244140625,-60
1687528675571000000,1.126,-43
1687528675688000000,1.243,-53
1687528675803000000,1.358,-50
1687528675921000000,1.476,-50
1687528676038000000,1.593000244140625,-50
1687528676154000000,1.708999755859375,-48
1687528676275000000,1.83,-39
1687528676403000000,1.958,-36
1687528676525000000,2.08,-50
1687528676637000000,2.192,-37
1687528676755000000,2.31,-28
1687528676873000000,2.428,-49
1687528676988000000,2.543,-32
1687528677106000000,2.660999755859375,-50
1687528677223000000,2.778,-45
1687528677340000000,2.895,-45
1687528677456000000,3.011,-48
1687528677574000000,3.129000244140625,-42
1687528677693000000,3.248,-54
1687528677809000000,3.364,-53
1687528677924000000,3.479,-47
1687528678041000000,3.596,-57
1687528678158000000,3.713000244140625,-37
1687528678275000000,3.83,-52
1687528678394000000,3.948999755859375,-49
1687528678509000000,4.064,-44
1687528678627000000,4.182,-49
1687528678745000000,4.3,-48
1687528678861000000,4.416,-37
1687528678977000000,4.532,-47
1687528679094000000,4.649000244140625,-43
1687528679213000000,4.768,-37
1687528679330000000,4.884999755859375,-45
1687528679446000000,5.001000244140625,-39
1687528679562000000,5.116999755859375,-34
1687528679679000000,5.234,-36
1687528679796000000,5.351,-37
1687528679915000000,5.47,-33
1687528680032000000,5.587,-31
1687528680150000000,5.705000244140625,-30
1687528680265000000,5.82,-38
1687528680381000000,5.936,-33
1687528680498000000,6.052999755859375,-35
1687528680615000000,6.17,-28
1687528680733000000,6.288,-32
1687528680849000000,6.404,-23
1687528680968000000,6.523,-36
1687528681084000000,6.639,-20
1687528681199000000,6.754,-37
1687528681317000000,6.872,-38
1687528681433000000,6.988,-34
1687528681552000000,7.107,-31
1687528681667000000,7.222,-37
1687528681787000000,7.342,-27
1687528681901000000,7.456,-32
1687528682018000000,7.572999755859375,-21
1687528682137000000,7.692,-30
1687528682253000000,7.808,-35
1687528682370000000,7.924999755859375,-26
1687528682487000000,8.042,-34
1687528682605000000,8.16,-35
1687528682721000000,8.276,-33
1687528682838000000,8.393000244140625,-26
1687528682955000000,8.51,-33
1687528683073000000,8.628,-27
1687528683189000000,8.744,-35
1687528683307000000,8.862,-32
1687528683424000000,8.979,-35
1687528683539000000,9.094,-32
1687528683657000000,9.212,-31
1687528683774000000,9.329000244140625,-26
1687528683892000000,9.447,-26
1687528684008000000,9.563,-28
1687528684126000000,9.681000244140625,-33
