time,seconds_elapsed,dBFS
1687528379994000000,0.069999755859375,-160.0
1687528380112000000,0.188,-160.0
1687528380229000000,0.305,-160.0
1687528380346000000,0.421999755859375,-160.0
1687528380462000000,0.538000244140625,-132.0
1687528380581000000,0.657,-107.0
1687528380699000000,0.775,-96.0
1687528380814000000,0.890000244140625,-104.0
1687528380933000000,1.009,-91.0
1687528381050000000,1.125999755859375,-75.0
1687528381170000000,1.245999755859375,-87.0
1687528381285000000,1.361,-99.0
1687528381402000000,1.477999755859375,-93.0
1687528381519000000,1.595,-100.0
1687528381636000000,1.712,-94.0
1687528381755000000,1.831,-98.0
1687528381873000000,1.949,-98.0
1687528381988000000,2.064,-96.0
1687528382104000000,2.18,-86.0
1687528382223000000,2.299,-87.0
1687528382339000000,2.415,-88.0
1687528382458000000,2.533999755859375,-87.0
1687528382574000000,2.650000244140625,-89.0
1687528382692000000,2.768,-84.0
1687528382811000000,2.887,-83.0
1687528382925000000,3.001,-87.0
1687528383042000000,3.117999755859375,-83.0
1687528383159000000,3.235,-82.0
1687528383277000000,3.353,-84.0
1687528383394000000,3.469999755859375,-92.0
1687528383512000000,3.588,-86.0
1687528383628000000,3.704,-88.0
1687528383746000000,3.821999755859375,-87.0
1687528383863000000,3.939,-86.0
1687528383980000000,4.056,-80.0
1687528384097000000,4.173,-82.0
1687528384212000000,4.288,-81.0
1687528384332000000,4.408,-77.0
1687528384448000000,4.524,-76.0
1687528384565000000,4.641,-79.0
1687528384681000000,4.757,-71.0
1687528384799000000,4.875,-72.0
1687528384921000000,4.997,-78.0
1687528385034000000,5.109999755859375,-81.0
1687528385150000000,5.226000244140625,-87.0
1687528385268000000,5.344,-81.0
1687528385385000000,5.461,-74.0
1687528385500000000,5.576,-80.0
1687528385617000000,5.693,-76.0
1687528385737000000,5.813,-75.0
1687528385857000000,5.933,-74.0
1687528385971000000,6.047,-74.0
1687528386088000000,6.164,-61.0
1687528386202000000,6.277999755859375,-55.0
1687528386320000000,6.396,-45.0
1687528386437000000,6.513,-65.0
1687528386556000000,6.632,-65.0
1687528386672000000,6.748,-65.0
1687528386789000000,6.865,-64.0
1687528386906000000,6.981999755859375,-67.0
1687528387025000000,7.101,-69.0
1687528387141000000,7.217,-67.0
1687528387257000000,7.333,-64.0
1687528387378000000,7.453999755859375,-74.0
1687528387493000000,7.569,-73.0
1687528387612000000,7.688,-67.0
1687528387728000000,7.804,-66.0
1687528387844000000,7.92,-68.0
1687528387961000000,8.037,-68.0
1687528388078000000,8.154000244140626,-63.0
1687528388196000000,8.272,-65.0
1687528388313000000,8.389,-56.0
1687528388432000000,8.508,-61.0
1687528388549000000,8.625,-62.0
1687528388665000000,8.741,-66.0
1687528388782000000,8.858000244140625,-68.0
1687528388900000000,8.976,-65.0
1687528389018000000,9.093999755859375,-68.0
1687528389136000000,9.212,-66.0
1687528389255000000,9.331,-66.0
1687528389374000000,9.450000244140623,-70.0
1687528389490000000,9.565999755859377,-68.0
1687528389612000000,9.688,-55.0
1687528389727000000,9.803,-65.0
1687528389843000000,9.919,-61.0
1687528389961000000,10.037,-53.0
1687528390072000000,10.148,-57.0
1687528390187000000,10.263,-45.0
1687528390303000000,10.379,-43.0
1687528390421000000,10.497,-42.0
1687528390540000000,10.616,-49.0
1687528390657000000,10.733,-50.0
1687528390774000000,10.850000244140626,-45.0
1687528390892000000,10.968,-43.0
1687528391009000000,11.085,-49.0
1687528391126000000,11.202000244140624,-39.0
1687528391243000000,11.319,-45.0
1687528391360000000,11.436,-34.0
1687528391478000000,11.554000244140624,-27.0
1687528391597000000,11.673,-39.0
1687528391714000000,11.789999755859377,-36.0
1687528391833000000,11.909,-46.0
1687528391948000000,12.024,-49.0
1687528392062000000,12.138000244140626,-43.0
1687528392180000000,12.256,-39.0
1687528392297000000,12.373,-41.0
1687528392415000000,12.491,-46.0
1687528392534000000,12.610000244140624,-50.0
1687528392650000000,12.725999755859377,-51.0
1687528392767000000,12.843,-55.0
1687528392882000000,12.957999755859374,-44.0
1687528392994000000,13.069999755859374,-50.0
1687528393098000000,13.173999755859375,-50.0
1687528393214000000,13.290000244140623,-58.0
1687528393333000000,13.409,-58.0
1687528393449000000,13.525,-59.0
1687528393564000000,13.64,-57.0
1687528393679000000,13.755,-62.0
1687528393798000000,13.874000244140625,-66.0
1687528393914000000,13.989999755859374,-63.0
1687528394030000000,14.106000244140626,-70.0
1687528394147000000,14.223,-69.0
1687528394261000000,14.337,-68.0
1687528394378000000,14.453999755859376,-65.0
1687528394499000000,14.575,-73.0
1687528394613000000,14.689,-67.0
1687528394728000000,14.804,-69.0
1687528394845000000,14.921,-64.0
1687528394961000000,15.037,-60.0
1687528395075000000,15.151,-73.0
1687528395192000000,15.268,-62.0
1687528395310000000,15.386000244140623,-61.0
1687528395430000000,15.506000244140624,-62.0
1687528395548000000,15.624,-72.0
1687528395665000000,15.741,-45.0
1687528395782000000,15.858000244140625,-78.0
1687528395899000000,15.975,-74.0
1687528396018000000,16.093999755859375,-87.0
1687528396138000000,16.213999755859376,-80.0
1687528396254000000,16.330000244140624,-83.0
1687528396373000000,16.449,-87.0
1687528396492000000,16.568,-80.0
1687528396611000000,16.687,-76.0
1687528396725000000,16.801,-58.0
1687528396843000000,16.919,-45.0
1687528396960000000,17.036,-78.0
1687528397064000000,17.14,-83.0
1687528397182000000,17.258000244140625,-79.0
1687528397299000000,17.375,-42.0
1687528397418000000,17.493999755859374,-91.0
1687528397534000000,17.610000244140625,-76.0
1687528397650000000,17.725999755859377,-75.0
1687528397767000000,17.843,-82.0
1687528397884000000,17.96,-83.0
1687528398002000000,18.077999755859373,-80.0
1687528398118000000,18.194000244140625,-74.0
1687528398236000000,18.312,-59.0
1687528398353000000,18.429,-54.0
1687528398470000000,18.546000244140625,-63.0
1687528398589000000,18.665,-62.0
1687528398706000000,18.78199975585937,-60.0
1687528398821000000,18.897,-49.0
1687528398939000000,19.015,-55.0
1687528399057000000,19.133,-44.0
1687528399174000000,19.250000244140622,-51.0
1687528399294000000,19.370000244140623,-44.0
1687528399412000000,19.488,-31.0
1687528399530000000,19.605999755859376,-42.0
1687528399645000000,19.721,-48.0
1687528399765000000,19.841,-39.0
1687528399882000000,19.957999755859376,-39.0
1687528400000000000,20.076,-45.0
1687528400118000000,20.194000244140625,-41.0
1687528400235000000,20.311,-46.0
1687528400353000000,20.429,-34.0
1687528400473000000,20.549,-43.0
1687528400589000000,20.665,-27.0
1687528400707000000,20.783,-44.0
1687528400824000000,20.9,-36.0
1687528400943000000,21.019,-31.0
1687528401048000000,21.124,-44.0
1687528401165000000,21.241,-38.0
1687528401281000000,21.357,-43.0
1687528401398000000,21.474000244140623,-36.0
1687528401516000000,21.592,-45.0
1687528401634000000,21.70999975585937,-39.0
1687528401753000000,21.829,-38.0
1687528401869000000,21.945,-42.0
1687528401985000000,22.061,-37.0
1687528402102000000,22.178000244140627,-41.0
1687528402218000000,22.29399975585937,-43.0
1687528402335000000,22.411,-32.0
1687528402455000000,22.531,-32.0
1687528402572000000,22.648,-36.0
1687528402689000000,22.765,-37.0
1687528402805000000,22.881,-40.0
1687528402925000000,23.001,-38.0
1687528403040000000,23.116,-41.0
1687528403157000000,23.233,-40.0
1687528403274000000,23.349999755859372,-42.0
1687528403393000000,23.469,-43.0
