time,seconds_elapsed,dBFS
1687170472019000000,0.001,-40.486446380615234
1687170472112000000,0.094,-31.63201332092285
1687170472212000000,0.194,-30.850353240966797
1687170472312000000,0.294,-32.07347106933594
1687170472412000000,0.394,-33.49977111816406
1687170472513000000,0.495,-30.71579360961914
1687170472620000000,0.602,-27.085216522216797
1687170472729000000,0.711,-29.15909194946289
1687170472830000000,0.812000244140625,-30.727670669555664
1687170472930000000,0.911999755859375,-28.331531524658203
1687170473030000000,1.012000244140625,-27.654224395751953
1687170473130000000,1.111999755859375,-29.027917861938477
1687170473231000000,1.213,-29.625669479370117
1687170473330000000,1.311999755859375,-30.805452346801758
1687170473431000000,1.413,-29.449094772338867
1687170473530000000,1.511999755859375,-30.74224853515625
1687170473646000000,1.628000244140625,-29.356613159179688
1687170473747000000,1.729,-30.330141067504883
1687170473863000000,1.845,-28.510658264160156
1687170473963000000,1.945,-30.088525772094727
1687170474064000000,2.046,-30.335742950439453
1687170474163000000,2.145,-31.16031265258789
1687170474264000000,2.246,-30.616283416748047
1687170474381000000,2.363,-27.5673885345459
1687170474481000000,2.463,-28.603193283081055
1687170474581000000,2.563,-28.3872013092041
1687170474680000000,2.662,-22.213783264160156
1687170474780000000,2.762,-24.636953353881836
1687170474881000000,2.863,-26.27500343322754
1687170474981000000,2.963,-24.442554473876953
1687170475081000000,3.063,-26.231033325195312
1687170475181000000,3.163,-25.0430908203125
1687170475297000000,3.279,-25.508817672729492
1687170475398000000,3.380000244140625,-25.027368545532227
1687170475498000000,3.479999755859375,-26.76629638671875
1687170475598000000,3.580000244140625,-20.304027557373047
1687170475698000000,3.679999755859375,-23.043041229248047
1687170475798000000,3.780000244140625,-23.10469627380371
1687170475898000000,3.879999755859375,-23.794071197509766
1687170476015000000,3.997,-19.3765926361084
1687170476115000000,4.097,-22.04743003845215
1687170476215000000,4.197,-24.160587310791016
1687170476315000000,4.297,-21.50514793395996
1687170476432000000,4.414,-24.49427604675293
1687170476532000000,4.514,-22.383342742919922
1687170476654000000,4.636000244140625,-21.49634552001953
1687170476765000000,4.747,-24.1306209564209
1687170476865000000,4.847,-26.17684555053711
1687170476965000000,4.947,-27.393434524536133
1687170477065000000,5.047,-26.61302375793457
1687170477168000000,5.15,-29.612035751342773
1687170477282000000,5.263999755859375,-30.022136688232422
1687170477383000000,5.365,-29.72052574157715
1687170477482000000,5.463999755859375,-31.47595977783203
1687170477582000000,5.564000244140625,-32.8815803527832
1687170477682000000,5.663999755859375,-30.745994567871094
1687170477782000000,5.764000244140625,-30.700475692749023
1687170477882000000,5.863999755859375,-30.787267684936523
1687170477982000000,5.964000244140625,-32.10144805908203
1687170478082000000,6.063999755859375,-27.5659122467041
1687170478182000000,6.164000244140625,-29.68924331665039
1687170478282000000,6.263999755859375,-26.241060256958008
1687170478382000000,6.364000244140625,-29.355979919433594
1687170478483000000,6.465,-31.04690170288086
1687170478582000000,6.564000244140625,-31.006999969482422
1687170478682000000,6.663999755859375,-32.625789642333984
1687170478783000000,6.765,-30.454078674316406
1687170478883000000,6.865,-31.86393165588379
1687170478982000000,6.964000244140625,-24.496919631958008
1687170479083000000,7.065,-27.54448890686035
1687170479183000000,7.165,-30.040895462036133
1687170479300000000,7.282,-31.71039390563965
1687170479400000000,7.382,-31.815324783325195
1687170479500000000,7.482,-33.1868896484375
1687170479599000000,7.581,-33.609649658203125
1687170479700000000,7.682,-28.447513580322266
1687170479800000000,7.782,-30.740272521972656
1687170479900000000,7.882,-32.01740646362305
1687170480017000000,7.999,-32.27880096435547
1687170480116000000,8.098,-33.681610107421875
1687170480217000000,8.199,-33.738712310791016
1687170480317000000,8.299,-35.261905670166016
1687170480417000000,8.399,-33.80272674560547
1687170480517000000,8.499,-29.12042999267578
1687170480616000000,8.598,-31.16999053955078
1687170480717000000,8.699,-21.347631454467773
1687170480817000000,8.799,-24.792936325073242
1687170480917000000,8.899,-28.155136108398438
1687170481017000000,8.999,-30.042430877685547
1687170481117000000,9.099,-29.85658073425293
1687170481217000000,9.199,-31.935516357421875
1687170481317000000,9.299,-32.73764419555664
1687170481417000000,9.399,-33.58928298950195
1687170481517000000,9.499,-28.5872859954834
1687170481617000000,9.599,-31.254695892333984
1687170481717000000,9.699,-26.848798751831055
1687170481834000000,9.815999755859375,-28.912904739379883
1687170481935000000,9.917,-31.906478881835938
1687170482051000000,10.033,-32.93735122680664
1687170482151000000,10.133,-28.36391830444336
1687170482251000000,10.233,-30.490825653076172
1687170482351000000,10.333,-31.849510192871094
1687170482451000000,10.433,-23.661226272583008
1687170482551000000,10.533,-26.40001678466797
1687170482668000000,10.65,-29.6790771484375
1687170482768000000,10.75,-31.00242805480957
1687170482868000000,10.85,-33.46562576293945
1687170482968000000,10.95,-34.25810241699219
1687170483068000000,11.05,-29.173927307128906
1687170483168000000,11.15,-18.87313461303711
1687170483269000000,11.251,-22.352685928344727
1687170483368000000,11.35,-25.642744064331055
1687170483469000000,11.451,-28.13474464416504
1687170483569000000,11.551,-28.98744773864746
1687170483669000000,11.651,-28.847049713134766
1687170483786000000,11.767999755859375,-30.6927490234375
1687170483886000000,11.868000244140624,-26.092113494873047
1687170483985000000,11.967,-29.073745727539062
1687170484085000000,12.067,-29.366735458374023
1687170484185000000,12.167,-27.749778747558594
1687170484285000000,12.267,-27.658954620361328
1687170484386000000,12.367999755859374,-28.542491912841797
1687170484485000000,12.467,-30.807640075683594
1687170484586000000,12.567999755859375,-28.23588752746582
1687170484686000000,12.668000244140625,-30.21670150756836
1687170484786000000,12.767999755859375,-31.563932418823242
1687170484886000000,12.868000244140624,-30.605005264282227
1687170484986000000,12.967999755859376,-32.283103942871094
1687170485086000000,13.068000244140626,-33.69585037231445
1687170485203000000,13.185,-35.364410400390625
1687170485303000000,13.285,-33.57781982421875
1687170485403000000,13.385,-30.272987365722656
1687170485503000000,13.485,-31.759490966796875
1687170485603000000,13.585,-33.724063873291016
1687170485703000000,13.685,-34.45829391479492
1687170485803000000,13.785,-34.80115509033203
1687170485903000000,13.885,-25.723093032836914
1687170486003000000,13.985,-23.72516441345215
1687170486104000000,14.086,-26.39471435546875
1687170486203000000,14.185,-28.72759437561035
1687170486303000000,14.285,-30.758441925048828
1687170486403000000,14.385,-32.0732536315918
1687170486520000000,14.502,-28.9904727935791
1687170486620000000,14.602,-31.310680389404297
1687170486719000000,14.701,-33.15267562866211
1687170486820000000,14.802,-33.26858139038086
1687170486920000000,14.902,-34.45392608642578
1687170487020000000,15.002,-27.669797897338867
1687170487137000000,15.119,-28.482568740844727
1687170487237000000,15.219,-30.72132110595703
1687170487337000000,15.319,-32.698463439941406
1687170487437000000,15.419,-27.993732452392578
1687170487537000000,15.519,-29.945144653320312
1687170487637000000,15.619,-32.253631591796875
1687170487737000000,15.719,-33.140602111816406
1687170487837000000,15.819,-30.68549156188965
1687170487937000000,15.919,-32.59297180175781
1687170488037000000,16.019,-27.370746612548828
1687170488137000000,16.119,-29.547407150268555
1687170488254000000,16.236000244140627,-30.12527084350586
1687170488354000000,16.335999755859376,-31.406362533569336
1687170488454000000,16.436000244140626,-32.992034912109375
1687170488554000000,16.535999755859375,-35.00163650512695
1687170488654000000,16.636000244140625,-33.50003433227539
1687170488754000000,16.735999755859375,-25.570432662963867
1687170488854000000,16.836000244140624,-27.655529022216797
1687170488954000000,16.935999755859374,-29.859445571899414
1687170489054000000,17.036000244140624,-24.506187438964844
1687170489155000000,17.137,-26.518266677856445
1687170489271000000,17.253,-28.64057159423828
1687170489371000000,17.353,-30.179222106933594
1687170489471000000,17.453,-31.028451919555664
