time,seconds_elapsed,dBFS
1687189919574000000,0.001000244140625,-160
1687189919685000000,0.112,-160
1687189919805000000,0.232,-160
1687189919923000000,0.35,-160
1687189920038000000,0.465000244140625,-95
1687189920156000000,0.583,-56
1687189920273000000,0.7,-47
1687189920392000000,0.819,-39
1687189920507000000,0.934,0
1687189920627000000,1.054,-50
1687189920741000000,1.168,-88
1687189920857000000,1.284,-113
1687189920982000000,1.409000244140625,-120
1687189921094000000,1.521000244140625,-122
1687189921212000000,1.639,-115
1687189921329000000,1.756,0
1687189921448000000,1.875,-75
1687189921563000000,1.99,-103
1687189921679000000,2.106,-106
1687189921796000000,2.223,-103
1687189921912000000,2.339,-105
1687189922031000000,2.458,0
1687189922148000000,2.575,-43
1687189922265000000,2.692,-89
1687189922411000000,2.838,-110
1687189922516000000,2.943,-119
1687189922633000000,3.06,-121
1687189922751000000,3.178,-123
1687189922869000000,3.296,0
1687189922986000000,3.412999755859375,-51
1687189923103000000,3.53,-96
1687189923219000000,3.646,-106
1687189923335000000,3.762,-104
1687189923453000000,3.88,-106
1687189923570000000,3.996999755859375,-103
1687189923687000000,4.114,-106
1687189923804000000,4.231,0
1687189923928000000,4.355,-82
1687189924038000000,4.465000244140625,-115
1687189924156000000,4.583,-117
1687189924272000000,4.699,-120
1687189924402000000,4.828999755859375,-2
1687189924506000000,4.932999755859375,-23
1687189924626000000,5.052999755859375,-81
1687189924743000000,5.17,-101
1687189924859000000,5.286,-102
1687189924975000000,5.402,-102
1687189925094000000,5.521000244140625,-2
1687189925209000000,5.636,-80
1687189925329000000,5.756,-99
1687189925446000000,5.873000244140625,-106
1687189925564000000,5.991,0
1687189925681000000,6.108,-41
1687189925795000000,6.222,-79
1687189925913000000,6.34,-109
1687189926031000000,6.458,-112
1687189926151000000,6.578,-106
1687189926266000000,6.692999755859375,-4
1687189926386000000,6.812999755859375,-63
1687189926503000000,6.93,-94
1687189926618000000,7.044999755859375,-103
1687189926738000000,7.164999755859375,-104
1687189926854000000,7.281000244140625,0
1687189926970000000,7.396999755859375,-39
1687189927089000000,7.516,-87
1687189927209000000,7.636,-110
1687189927333000000,7.76,-114
1687189927445000000,7.872,0
1687189927553000000,7.98,-46
1687189927670000000,8.097000244140625,-89
1687189927788000000,8.215,-109
1687189927906000000,8.332999755859374,-107
1687189928026000000,8.452999755859375,0
1687189928144000000,8.571,-50
1687189928260000000,8.687,-93
1687189928392000000,8.819,-105
1687189928512000000,8.939,-109
1687189928630000000,9.057000244140625,-1
1687189928747000000,9.174,-49
1687189928866000000,9.292999755859375,-104
1687189928990000000,9.417000244140626,-121
1687189929102000000,9.529000244140626,-119
1687189929220000000,9.647,0
1687189929338000000,9.764999755859375,-53
1687189929455000000,9.882,-102
1687189929560000000,9.987,-106
1687189929677000000,10.104,-104
1687189929791000000,10.218,-102
1687189929908000000,10.335,0
1687189930024000000,10.451,-67
1687189930130000000,10.556999755859374,-98
1687189930247000000,10.674,-108
1687189930365000000,10.792,-117
1687189930480000000,10.907,-13
1687189930597000000,11.024,-83
1687189930713000000,11.14,-117
1687189930831000000,11.258,-113
1687189930949000000,11.376,-113
1687189931066000000,11.492999755859374,-1
1687189931183000000,11.61,-73
1687189931301000000,11.728,-94
1687189931416000000,11.843,-102
1687189931533000000,11.96,-1
1687189931649000000,12.076,-33
1687189931768000000,12.195,-85
1687189931886000000,12.313000244140625,-111
1687189932005000000,12.432,-117
1687189932122000000,12.548999755859375,0
1687189932240000000,12.667,-44
1687189932354000000,12.780999755859375,-87
1687189932472000000,12.899,-106
1687189932590000000,13.017000244140625,-105
1687189932708000000,13.135,-5
1687189932826000000,13.252999755859374,-80
1687189932943000000,13.37,0
