time,seconds_elapsed,dBFS
1682678944634000000,0.005999755859375,-53.25619125366211
1682678944721000000,0.093,-51.67399978637695
1682678944820000000,0.192,-53.252113342285156
1682678944920000000,0.292,-50.60895538330078
1682678945020000000,0.392,-42.12045669555664
1682678945121000000,0.493,-41.71785354614258
1682678945237000000,0.609,-46.096500396728516
1682678945338000000,0.709999755859375,-49.514869689941406
1682678945438000000,0.810000244140625,-52.607975006103516
1682678945538000000,0.909999755859375,-55.86172866821289
1682678945638000000,1.010000244140625,-57.33108139038086
1682678945755000000,1.127,-52.09251403808594
1682678945856000000,1.228,-50.24923324584961
1682678945972000000,1.344,-39.84440231323242
1682678946072000000,1.444,-15.378933906555176
1682678946172000000,1.544,-11.782516479492188
1682678946272000000,1.644,-11.741106033325195
1682678946372000000,1.744,-11.6632080078125
1682678946472000000,1.844,-8.384571075439453
1682678946572000000,1.944,-8.431792259216309
1682678946672000000,2.044,-9.48184585571289
1682678946772000000,2.144,-9.970945358276367
1682678946872000000,2.244,-10.618768692016602
1682678946972000000,2.344,-8.875797271728516
1682678947072000000,2.444,-10.040548324584961
1682678947172000000,2.544,-10.849496841430664
1682678947272000000,2.644,-13.17470932006836
1682678947389000000,2.761,-13.862934112548828
1682678947489000000,2.861,-12.067025184631348
1682678947589000000,2.961,-13.517121315002441
1682678947689000000,3.061,-15.061820030212402
1682678947789000000,3.161,-12.094771385192871
1682678947906000000,3.277999755859375,-13.636492729187012
1682678948006000000,3.378000244140625,-13.452616691589355
1682678948123000000,3.495,-10.384907722473145
1682678948224000000,3.596,-11.479729652404785
1682678948340000000,3.712,-9.448837280273438
1682678948440000000,3.812,-6.69119119644165
1682678948540000000,3.912,-7.929284572601318
1682678948640000000,4.012,-6.12076997756958
1682678948740000000,4.112,-6.094406604766846
1682678948840000000,4.212,-7.516235828399658
1682678948940000000,4.312,-8.461594581604004
1682678949040000000,4.412,-7.720769882202148
1682678949140000000,4.512,-9.242499351501465
1682678949240000000,4.612,-8.934630393981934
1682678949340000000,4.712,-9.867043495178223
1682678949457000000,4.829,-11.140077590942383
1682678949557000000,4.929,-10.75350570678711
1682678949657000000,5.029,-12.067292213439941
1682678949757000000,5.129,-15.083483695983887
1682678949857000000,5.229,-3.5132648944854736
1682678949974000000,5.346000244140625,-6.478072166442871
1682678950074000000,5.445999755859375,-4.177384376525879
1682678950174000000,5.546000244140625,-5.529327392578125
1682678950274000000,5.645999755859375,-6.25922966003418
1682678950374000000,5.746000244140625,-1.5542354583740234
1682678950474000000,5.845999755859375,-3.3462934494018555
1682678950574000000,5.946000244140625,-5.17773962020874
1682678950674000000,6.045999755859375,-4.141839027404785
1682678950774000000,6.146000244140625,-6.396748065948486
1682678950874000000,6.245999755859375,-8.429912567138672
1682678950974000000,6.346000244140625,-8.541776657104492
1682678951073000000,6.445,-10.274635314941406
1682678951173000000,6.545,-13.088013648986816
1682678951274000000,6.645999755859375,-9.70219612121582
1682678951374000000,6.746000244140625,-9.342732429504395
1682678951474000000,6.845999755859375,-7.199263095855713
1682678951574000000,6.946000244140625,-6.600692272186279
1682678951674000000,7.045999755859375,-8.13854694366455
1682678951774000000,7.146000244140625,-8.589664459228516
1682678951891000000,7.263,-6.038865089416504
1682678951991000000,7.363,-7.418397903442383
1682678952107000000,7.479,-3.6596121788024902
1682678952208000000,7.58,-3.9526448249816895
1682678952308000000,7.68,-4.566391944885254
1682678952408000000,7.78,-6.156975746154785
1682678952508000000,7.88,-4.341494560241699
1682678952608000000,7.98,-4.793226718902588
1682678952725000000,8.097,-6.231280326843262
1682678952825000000,8.197,-7.334239959716797
1682678952925000000,8.297,-9.096094131469727
