time,seconds_elapsed,dBFS
1683618255883000000,0,-53.51853942871094
1683618255967000000,0.084,-53.82334518432617
1683618256068000000,0.185,-52.938758850097656
1683618256184000000,0.301,-57.16749572753906
1683618256285000000,0.402,-58.202392578125
1683618256385000000,0.502,-59.421302795410156
1683618256501000000,0.618,-56.30741882324219
1683618256601000000,0.718,-58.594173431396484
1683618256702000000,0.819000244140625,-60.56193923950195
1683618256802000000,0.918999755859375,-59.539127349853516
1683618256902000000,1.019000244140625,-12.625454902648926
1683618257019000000,1.136,-14.987963676452637
1683618257119000000,1.236,-13.55437183380127
1683618257219000000,1.336,-16.64442253112793
1683618257319000000,1.436,-20.132017135620117
1683618257419000000,1.536,-24.285404205322266
1683618257519000000,1.636,-28.04465103149414
1683618257619000000,1.736,-31.708070755004883
1683618257719000000,1.836,-36.18716812133789
1683618257836000000,1.953,-40.984771728515625
1683618257935000000,2.052,-44.55084228515625
