time,seconds_elapsed,dBFS
1683105416627000000,0.001,-52.86827850341797
1683105416716000000,0.09,-51.30812454223633
1683105416817000000,0.191,-51.67699432373047
1683105416917000000,0.291,-51.604896545410156
1683105417017000000,0.391,-47.66469955444336
1683105417117000000,0.491,-50.851741790771484
1683105417217000000,0.591,-53.04867172241211
1683105417317000000,0.691,-49.908233642578125
1683105417418000000,0.791999755859375,-52.26731491088867
1683105417520000000,0.894,-52.89958572387695
1683105417634000000,1.007999755859375,-55.92624282836914
1683105417735000000,1.109,-55.33436584472656
1683105417851000000,1.225,-43.58743667602539
1683105417968000000,1.342,-38.89677429199219
1683105418085000000,1.459,-37.17262649536133
1683105418185000000,1.559,-34.34670639038086
1683105418285000000,1.659,-32.722904205322266
1683105418402000000,1.775999755859375,-32.17616271972656
1683105418519000000,1.893,-31.885906219482422
1683105418635000000,2.009,-32.333251953125
1683105418752000000,2.126,-32.5795783996582
1683105418852000000,2.226,-32.40800857543945
1683105418952000000,2.326,-32.78961181640625
1683105419052000000,2.426,-35.37889862060547
1683105419152000000,2.526,-38.430912017822266
1683105419269000000,2.643,-41.56554412841797
1683105419369000000,2.743,-43.14470291137695
1683105419469000000,2.843,-37.72580337524414
1683105419569000000,2.943,-38.7062873840332
1683105419669000000,3.043,-36.340240478515625
1683105419769000000,3.143,-36.92629623413086
1683105419869000000,3.243,-36.516170501708984
1683105419986000000,3.359999755859375,-37.14407730102539
1683105420102000000,3.476000244140625,-36.89734649658203
1683105420202000000,3.575999755859375,-34.099369049072266
1683105420303000000,3.677,-32.038352966308594
1683105420403000000,3.777,-30.556549072265625
1683105420520000000,3.894,-31.368846893310547
1683105420636000000,4.01,-30.49750328063965
1683105420753000000,4.127,-30.997974395751953
1683105420869000000,4.243,-25.51080322265625
1683105420970000000,4.343999755859375,-26.475847244262695
1683105421070000000,4.444000244140625,-25.67430305480957
1683105421170000000,4.543999755859375,-23.56418800354004
1683105421270000000,4.644000244140625,-24.929975509643555
1683105421387000000,4.761,-25.177574157714844
1683105421487000000,4.861,-25.6768741607666
1683105421587000000,4.961,-26.39520263671875
1683105421688000000,5.062,-26.315635681152344
1683105421787000000,5.161,-26.38043975830078
1683105421887000000,5.261,-23.662944793701172
1683105421987000000,5.361,-25.494003295898438
1683105422087000000,5.461,-26.499296188354492
1683105422187000000,5.561,-27.595808029174805
1683105422286000000,5.660000244140625,-28.552921295166016
1683105422387000000,5.761,-26.411252975463867
1683105422487000000,5.861,-23.35255241394043
1683105422587000000,5.961,-24.502384185791016
1683105422687000000,6.061,-26.25174903869629
1683105422804000000,6.178,-27.006351470947266
1683105422904000000,6.278,-26.566186904907227
1683105423004000000,6.378,-26.08757781982422
1683105423104000000,6.478,-27.31206512451172
1683105423204000000,6.578,-25.592832565307617
1683105423321000000,6.695,-24.967029571533203
1683105423421000000,6.795,-26.075708389282227
1683105423522000000,6.895999755859375,-25.27144432067871
1683105423637000000,7.011,-25.081506729125977
1683105423737000000,7.111,-26.478166580200195
1683105423838000000,7.212000244140625,-26.55599594116211
1683105423937000000,7.311,-26.614377975463867
1683105424037000000,7.411,-26.01437759399414
1683105424138000000,7.511999755859375,-25.52280044555664
1683105424238000000,7.612000244140625,-24.78751564025879
1683105424338000000,7.711999755859375,-27.022785186767578
1683105424438000000,7.812000244140625,-26.91810417175293
1683105424537000000,7.911,-27.870662689208984
1683105424638000000,8.012000244140625,-27.714492797851562
1683105424738000000,8.111999755859374,-24.55696678161621
1683105424838000000,8.212000244140626,-25.189435958862305
1683105424955000000,8.329,-25.316675186157227
1683105425055000000,8.429,-27.02204704284668
1683105425155000000,8.529,-27.493844985961914
1683105425272000000,8.646,-23.682083129882812
1683105425372000000,8.746,-24.387880325317383
1683105425472000000,8.846,-25.07666778564453
1683105425572000000,8.946,-27.00591468811035
1683105425672000000,9.046,-26.053131103515625
1683105425772000000,9.146,-26.64068603515625
1683105425872000000,9.246,-26.48589515686035
1683105425972000000,9.346,-25.799026489257812
1683105426072000000,9.446,-23.68100357055664
1683105426172000000,9.546,-25.34063148498535
1683105426289000000,9.663,-25.033613204956055
1683105426388000000,9.762,-24.64858055114746
1683105426489000000,9.863,-25.4408016204834
1683105426589000000,9.963,-25.420923233032227
1683105426689000000,10.063,-26.942262649536133
1683105426806000000,10.180000244140626,-25.51824378967285
1683105426905000000,10.279,-26.396717071533203
1683105427006000000,10.380000244140625,-25.704851150512695
1683105427106000000,10.479999755859374,-25.838111877441406
1683105427207000000,10.581,-26.83479881286621
1683105427306000000,10.679999755859376,-27.55594253540039
1683105427406000000,10.780000244140625,-27.739521026611328
1683105427506000000,10.879999755859375,-24.526668548583984
1683105427606000000,10.980000244140625,-25.47047996520996
1683105427723000000,11.097,-27.279590606689453
1683105427823000000,11.197,-27.609710693359375
1683105427923000000,11.297,-24.17323875427246
1683105428023000000,11.397,-25.860994338989258
1683105428123000000,11.497,-26.860782623291016
1683105428223000000,11.597,-27.687633514404297
1683105428340000000,11.714,-25.96080207824707
1683105428440000000,11.814,-27.638072967529297
1683105428539000000,11.913,-26.261371612548828
1683105428640000000,12.014,-25.335145950317383
1683105428740000000,12.114,-26.982528686523438
1683105428840000000,12.214,-27.706743240356445
1683105428957000000,12.331,-26.954591751098633
1683105429057000000,12.431,-25.792274475097656
1683105429157000000,12.531,-25.91815757751465
1683105429257000000,12.631,-26.13029670715332
1683105429357000000,12.731,-26.983556747436523
1683105429457000000,12.831,-25.776094436645508
1683105429557000000,12.931,-25.68061637878418
1683105429673000000,13.047,-24.091493606567383
1683105429774000000,13.148000244140626,-24.709924697875977
1683105429874000000,13.247999755859375,-24.58171844482422
1683105429991000000,13.365,-24.430858612060547
1683105430090000000,13.463999755859374,-23.034353256225586
1683105430191000000,13.565,-24.67607307434082
1683105430291000000,13.665,-25.68960952758789
1683105430391000000,13.765,-27.963232040405273
1683105430491000000,13.865,-30.695362091064453
1683105430591000000,13.965,-32.070247650146484
1683105430691000000,14.065,-33.880130767822266
1683105430791000000,14.165,-36.64909362792969
1683105430891000000,14.265,-37.50575256347656
1683105430991000000,14.365,-39.68804168701172
1683105431091000000,14.465,-38.56985855102539
